,Id,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,format,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,24165919,The Ways,,Colin Barrett,2015,The New Yorker,eng,"Short stories published in The New Yorker January 2015<br /><br />The landline was mewling again in the kitchen, obliging Pell Munnelly, woke now for good, to climb from the cozy rut of her bed and pad downstairs in bare feet. She skimmed her fingertips along the dulled gray-and-lilac grain of the walls, swatted each light switch she passed to feel less alone.",1,20,2014,20,ebook,False,None,literary favorites new-yorker-fiction short-stories shorts anglo-lit irish to-borrow short-fiction read-in-2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419843579l/24165919._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419843579l/24165919._SX98_.jpg
0,22571882,Young Skins,0802123325,Colin Barrett,2015,"Grove Press, Black Cat",eng,"Making a remarkable entrance onto the Irish and UK literary scene with rave reviews in <i>The Sunday Times</i> and <i>The Guardian</i>, Colin Barrett’s <i>Young Skins</i> is a stunning introduction to a singular voice in contemporary fiction.<br /><br />Enter the small, rural town of Glanbeigh, a place whose fate took a downturn with the Celtic Tiger, a desolate spot where buffoonery and tension simmer and erupt, and booze-sodden boredom fills the corners of every pub and nightclub. Here, and in the towns beyond, the young live hard and wear the scars. Amongst them, there’s jilted Jimmy, whose best friend Tug is the terror of the town and Jimmy’s sole company in his search for the missing Clancy kid; Bat, a lovesick soul with a face like “a bowl of mashed up spuds” even before Nubbin Tansey’s boot kicked it in; and Arm, a young and desperate criminal whose destiny is shaped when he and his partner, Dympna, fail to carry out a job. In each story, a local voice delineates the grittiness of Irish society; unforgettable characters whose psychological complexities and unspoken yearnings are rendered through silence, humor, and violence.<br /><br />With power and originality akin to Wells Tower’s <i>Everything Ravaged, Everything Burned</i> and Claire Vaye Watkins’ <i>Battleborn</i> these six short stories and one explosive novella occupy the ghostly, melancholic spaces between boyhood and old age. Told in Barrett’s vibrant, distinctive prose, <i>Young Skins</i> is an accomplished and irreverent debut from a brilliant new writer.",195,1334,2013,211,Paperback,False,Black Vodka: Ten Stories;Dark Lies the Island;Battleborn;City of Bohane;The World and Other Places: Stories;The Spinning Heart;Show Them a Good Time;Night Boat to Tangier;Solar Bones;Between the Assassinations;Where I'm Calling From: New and Selected Stories;Beatlebone;There are Little Kingdoms;Wild Milk;The Topeka School;The Devil's Larder;Emporium;Short Cuts: Selected Stories,short-stories fiction ireland irish favorites short-story-collections irish-literature library books-i-own read-2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423543900l/22571882._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423543900l/22571882._SX98_.jpg
0,75703,"English, August: An Indian Story",1590171799,Upamanyu Chatterjee,2006,New York Review of Books,eng,,378,5115,1988,326,Paperback,False,Maximum City: Bombay Lost and Found;The Inscrutable Americans;The Great Indian Novel;The Guide;The Shadow Lines;Train to Pakistan;Swami and Friends;India Unbound: The Social and Economic Revolution from Independence to the Global Information Age;Serious Men;Such a Long Journey;The Palace of Illusions;The Hungry Tide;The Calcutta Chromosome;India After Gandhi: The History of the World's Largest Democracy;India's Struggle for Independence;The Glass Palace;Chokher Bali;Sacred Games (Sacred Games),fiction india indian favorites nyrb indian-fiction indian-authors owned indian-literature books-i-own,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,13577676,Difficult Pleasures,0670086266,Anjum Hasan,2012,Penguin/Viking,eng,"A solitary economist drives from France to Sweden to try and redeem a tragedy; a boy fervently hopes his father will not miss his appearance in a school play; a painter on the way to Europe is about to board the wrong flight; a village boy leaves school for the bright lights of Bangalore; a man tries to stop time.<br /><br />Wry, tender, borderline surreal, Difficult Pleasures is a collection of stories about the need to escape and the longing to belong. Accomplished, ambitious and full of surprises, this is a masterful collection - and it confirms Anjum Hasan’s reputation as one of India’s most gifted young writers",24,147,2012,247,,False,"Latitudes of Longing;The Beekeeper of Aleppo;Dare to Lead;Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions;I'm Still Here: Black Dignity in a World Made for Whiteness;I Was Told to Come Alone: My Journey Behind the Lines of Jihad",short-stories india fiction maybe read_next na-read-karo chick-lit read-before-goodreads owned short-stories-flash-fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333536480l/13577676._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333536480l/13577676._SX98_.jpg
0,109201,The Company of Women,0140290478,Khushwant Singh,,Penguin Books India,en-US,"Recently Separated From His Nagging, Ill-Tempered Wife Of Thirteen Years, Millionaire Businessman Mohan Kumar Decides To Reinvent His Life. Convinced That 'Lust Is The True Foundation Of Love', He Embarks On An Audacious Plan: He Will Advertise For Paid Lady Companions To Share His Bed And His Life. Thus Begins His Journey Of Easy, Unbridled Sexuality In The Company Of Some Remarkable Women. There Is Sarojini Bharadwai, The Demure Professor From Small-Town Haryana Who Surprises Mohan With Her Ardour And Sexual Energy; Molly Gomes, The Free-Spirited Masseuse From Goa, Mistress Of The Sensual Impulse; And Susanthika Goonatilleke, The Diminutive Seductress From Sri Lanka. After Each Affair Ends And Before The Next Begins, Mohan Finds Solace In The Practiced Charms Of His Obliging Maid, Dhanno, And In The Memories Of His First Lovers: The American Jessica Browne, To Whom He Lost His Virginity, And The Pakistani Yasmeen Wanchoo, Who Brought Him The Heady Passion Of An Older Woman. In The Company Of Women, Khushwant Singh, India'S Most Widely Read Author, Has Produced An Uninhibited, Erotic And Endlessly Entertaining Celebration Of Love, Sex And Passion.",242,3603,1999,232,Paperback,False,"English, August: An Indian Story;Revolution 2020: Love, Corruption, Ambition;Lajja: Shame;Here, There and Everywhere: Best-Loved Stories of Sudha Murthy;So Now You Know: A Memoir of Growing Up Gay in India;The Room on the Roof;पिंजर;Dongri To Dubai : Six Decades of The Mumbai Mafia;The Postmaster;बनारस टॉकीज [Banaras Talkies];Untouchable;2 States: The Story of My Marriage;Mrs Funnybones;The White Tiger;City of Djinns: A Year in Delhi;One Night at the Call Center;The Palace of Illusions",fiction erotica indian indian-authors khushwant-singh owned english india default indian-fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260981688l/109201._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260981688l/109201._SX98_.jpg
0,109202,"Truth, Love and a Little Malice",0143029576,Khushwant Singh,2007,Penguin Books India,eng,"Khuswant on Khuswant is irresistable... such is his skill as a writer, simple, lucid, unpretentious, This book has been well worth the wait. India today",100,1404,2002,432,Paperback,False,A Case of Exploding Mangoes;ONE LIFE IS NOT ENOUGH;Curfewed Night;City of Djinns: A Year in Delhi;One Night at the Call Center;The 3 Mistakes of My Life;2 States: The Story of My Marriage;Lucknow Boy: A Memoir;The White Tiger;Wings of Fire: An Autobiography;India Unbound: The Social and Economic Revolution from Independence to the Global Information Age;Mafia Queens Of Mumbai:  Stories Of Women From The Ganglands;The Great Indian Novel;Rise of Kali: Duryodhana's Mahabharata (Epic of the Kaurava Clan #2);Jaya: An Illustrated Retelling of the Mahabharata;River of Fire: Aag Ka Darya;Gandhi Before India;The Accidental Prime Minister (The Making and Unmaking of Manmohan Singh),non-fiction biography indian owned memoirs autobiography khushwant-singh favorites memoir biographies,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,785454,Train to Pakistan,,Khushwant Singh,1994,Grove Press,en-US,پاکستان ایکسپریس کا موضوع دورانِ تقسیم ہند و پاکستان کے فسادات ہیں۔ ناول پنجاب کے ایک گانو منوماجرا کے گرد گھومتا ہے جس کی بیشتر آبادی سکھ ہے اور ان کے مزارعہ مسلمان ہیں۔ سکھوں کے دل میں کوئی جذبۂ منافقت نہیں مگر کچھ اشعتال پسند انھیں زبردستی اشعتال کی راہ پر گامزن کردیتے ہیں۔,1348,20137,1956,192,Paperback,False,"The Palace of Illusions;The Immortals of Meluha (Shiva Trilogy, #1);The White Tiger;2 States: The Story of My Marriage;The Secret of the Nagas (Shiva Trilogy #2);The Oath of the Vayuputras (Shiva Trilogy, #3);The 3 Mistakes of My Life;Five Point Someone: What Not to Do at IIT;Wings of Fire: An Autobiography;Our Moon Has Blood Clots: The Exodus of the Kashmiri Pandits;Revolution 2020: Love, Corruption, Ambition;Lajja: Shame;I Too Had a Love Story;One Night at the Call Center;The Guide;Poonachi: Or the Story of a Black Goat;The God of Small Things;Curfewed Night",fiction india historical-fiction favorites history indian indian-authors classics owned books-i-own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342220976l/785454._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342220976l/785454._SX98_.jpg
0,109263,Paradise And Other Stories,0670057789,Khushwant Singh,2004,Viking by Penguin Books India and Ravi Dayal Publisher,,"In this collection of stories, India's best-known writer addresses some perinent questions: Why do we believe in miracles? Can a horoscope guarantee the perfect wife? Is the Kamasutra a useful manual for newlyweds?",31,402,2004,239,Paperback,False,"The Night Train at Deoli and Other Stories;The Nameless Relationship;Blind Willow, Sleeping Woman;The Prospect of Miracles;The Gita;The Little Coffee Shop of Kabul;Learning How to Fly: Life Lessons for the Youth;Here, There and Everywhere: Best-Loved Stories of Sudha Murthy;A State of Freedom;English, August: An Indian Story;The Inscrutable Americans;Lord John and the Private Matter (Lord John Grey, #1);Latitudes of Longing;Asura: Tale Of The Vanquished;Shall We Tell the President? (Kane & Abel, #3);Love Story (Love Story, #1);The Bestseller She Wrote;Moth Smoke",short-stories indian khushwant-singh indian-authors books fiction kindle jannat 1 default,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370365917l/109263._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370365917l/109263._SX98_.jpg
0,17400657,Khushwantnama: The Lessons of My Life,8184759223,Khushwant Singh,2013,Viking,,"If there's anyone who's been around, seen it all and lived life to the hilt, it has to be Khushwant Singh. India's most popular and prolific writer has, over the years, enlightened and outraged in equal measure, and enriched our lives with his humour, his honesty and his sharp insights and observations. In Khushwantnama, the 98-year-old reflects on a life lived fully and the lessons it has taught him. Here is his distilled wisdom on subjects as diverse as old age and the fear of death; on the joy of sex, the pleasures of poetry and the importance of laughter; on how to cope with retirement and live a long, happy and healthy life. Here, too, are his reflections on politics, politicians and the future of India; on what it takes to be a writer; and on what religion means to him.",42,423,2013,208,ebook,False,"Our Moon Has Blood Clots: The Exodus of the Kashmiri Pandits;The Apple: History's greatest mystery. Mankind's greatest theft.;Gravitas: Communicate with Confidence, Influence and Authority;Our Impossible Love;Century Rain;The Inscrutable Americans;The Deliberate Sinner;One Minute Mentoring;Vox;Families and How to Survive Them;Intuition: Knowing Beyond Logic;Het weekend van 7 dagen;The Bed of Procrustes: Philosophical and Practical Aphorisms;It Started With a Friend Request;You Were My Crush!...till you said you love me!;The 3 Mistakes of My Life;The Art of Living: Vipassana Meditation: As Taught by S. N. Goenka;The Magic of the Lost Temple",non-fiction india kindle indian-authors biography-memoir biography k-singh default read-in-2014 physically-read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368413665l/17400657._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368413665l/17400657._SX98_.jpg
0,17340720,Those Pricey Thakur Girls,,Anuja Chauhan,2013,Harper Collins Publishers India,eng,"In a sprawling bungalow on New Delhi's posh Hailey Road, Justice Laxmi Narayan Thakur and his wife Mamta spend their days watching anxiously over their five beautiful (but troublesome) alphabetically named daughters. Anjini, married but an incorrigible flirt; Binodini, very worried about her children's hissa in the family property; Chandrakanta, who eloped with a foreigner on the eve of her wedding; Eshwari, who is just a little too popular at Modern School, Barakhamba Road; and the Judge's favourite (though fathers shouldn't have favourites): the quietly fiery Debjani, champion of all the stray animals on Hailey Road, who reads the English news on DD and clashes constantly with crusading journalist Dylan Singh Shekhawat, he of shining professional credentials but tarnished personal reputation, crushingly dismissive of her state-sponsored propaganda, but always seeking her out with half-sarcastic, half-intrigued dark eyes. Spot-on funny and toe-curlingly sexy, <i>Those Pricey Thakur Girls</i> is rom-com specialist Anuja Chauhan writing at her sparkling best.",480,4555,2013,400,Paperback,False,"The Wedding Photographer;Pyjamas are Forgiving;The Palace of Illusions;The Forest of Enchantments;Man of Her Match;The Legend of Lakshmi Prasad;Mrs Funnybones;Milk Teeth;Arranged Marriage;The Queen of Jasmine Country;Latitudes of Longing;Sita's Sister;Mahashweta;There’s Gunpowder in the Air;The Wedding Tamasha;Cobalt Blue;My Father’s Garden;The Feast of Roses (Taj Mahal Trilogy, #2)",romance chick-lit fiction favorites india indian-authors owned books-i-own indian contemporary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360946477l/17340720._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360946477l/17340720._SX98_.jpg
