Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
24165919,The Ways,,Colin Barrett,5,10/13/17,10/13/17,2017,Fri,ebook
22571882,Young Skins,0802123325,Colin Barrett,5,02/09/17,02/09/17,2017,Thu,Paperback
75703,"English, August: An Indian Story",1590171799,Upamanyu Chatterjee,5,08/18/16,08/18/16,2016,Thu,Paperback
13577676,Difficult Pleasures,0670086266,Anjum Hasan,4,08/18/16,08/18/16,2016,Thu,Paperback
109201,The Company of Women,0140290478,Khushwant Singh,4,08/18/16,08/18/16,2016,Thu,Paperback
109202,"Truth, Love and a Little Malice",0143029576,Khushwant Singh,4,08/18/16,08/18/16,2016,Thu,Paperback
785454,Train to Pakistan,,Khushwant Singh,4,08/18/16,08/18/16,2016,Thu,Paperback
109263,Paradise And Other Stories,0670057789,Khushwant Singh,4,08/18/16,09/02/16,2016,Fri,Paperback
17400657,Khushwantnama: The Lessons of My Life,8184759223,Khushwant Singh,4,08/18/16,08/18/16,2016,Thu,ebook
17340720,Those Pricey Thakur Girls,,Anuja Chauhan,4,08/18/16,08/18/16,2016,Thu,Paperback
16171669,Durbar,9350094444,Tavleen Singh,4,06/02/19,06/02/19,2019,Sun,Hardcover
400329,Linda Goodman's Sun Signs,0553278827,Linda Goodman,4,08/18/16,03/11/18,2018,Sun,Paperback
33917,The Namesake,0618485228,Jhumpa Lahiri,4,08/18/16,08/18/16,2016,Thu,Paperback
1768603,The White Tiger,1416562591,Aravind Adiga,4,08/18/16,08/18/16,2016,Thu,Hardcover
10746542,The Sense of an Ending,0224094157,Julian Barnes,4,08/18/16,08/18/16,2016,Thu,Hardcover
71189,The Collected Short Stories of Saki,1853260711,Saki,4,08/18/16,08/18/16,2016,Thu,Paperback
9777,The God of Small Things,0679457313,Arundhati Roy,4,08/18/16,08/18/16,2016,Thu,Hardcover
73968,"Love Story (Love Story, #1)",0380017601,Erich Segal,4,08/18/16,08/18/16,2016,Thu,Paperback
6375312,"Don't Lose Your Mind, Lose Your Weight",8184000669,Rujuta Diwekar,4,02/25/17,02/25/17,2017,Sat,Paperback
16788,Fragile Things: Short Fictions and Wonders,0060515228,Neil Gaiman,4,11/10/16,11/11/16,2016,Fri,Hardcover
968,"The Da Vinci Code (Robert Langdon, #2)",0307277674,Dan Brown,4,08/18/16,08/18/16,2016,Thu,Paperback
2755923,Lunatic In My Head,8189884050,Anjum Hasan,4,08/18/16,08/18/16,2016,Thu,Paperback
12405439,Malgudi Days,8185986177,R.K. Narayan,4,02/24/17,02/24/17,2017,Fri,Paperback
930,Memoirs of a Geisha,0739326228,Arthur Golden,4,08/18/16,08/18/16,2016,Thu,Hardcover
50365,"A Suitable Boy (A Suitable Boy, #1)",0060786523,Vikram Seth,4,09/11/17,09/11/17,2017,Mon,Paperback
29874514,"Anhedonia, Here I Come",,Colin Barrett,4,10/13/17,10/13/17,2017,Fri,ebook
1693048,Timepass: The Memoirs Of Protima Bedi,0140288805,Protima Bedi,3,08/18/16,08/18/16,2016,Thu,Paperback
4865,How to Win Friends and Influence People,,Dale Carnegie,3,01/29/17,01/29/17,2017,Sun,Paperback
129174,Fashion Babylon,141654318X,Imogen Edwards-Jones,3,08/18/16,08/18/16,2016,Thu,Hardcover
2637687,Breathless in Bombay,0312372701,Murzban F. Shroff,3,08/18/16,08/18/16,2016,Thu,Paperback
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",1612130291,E.L. James,3,08/18/16,08/18/16,2016,Thu,Paperback
483330,Anita and Me,1565845293,Meera Syal,3,08/18/16,08/18/16,2016,Thu,Paperback
1008101,Made in Japan: Akio Morita and Sony,0525244654,Akio Morita,3,08/18/16,08/18/16,2016,Thu,Hardcover
9416,"Confessions of a Shopaholic (Shopaholic, #1)",0440241413,Sophie Kinsella,3,08/18/16,08/18/16,2016,Thu,Paperback
