Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
7540092,"Monsters of Men (Chaos Walking, #3)",1406310271,Patrick Ness,5,10/05/12,05/25/12,2012,Fri,Hardcover
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",1423140591,Rick Riordan,5,12/02/12,03/04/14,2014,Tue,Hardcover
33590260,"Kingdom of Ash (Throne of Glass, #7)",1619636107,Sarah J. Maas,5,09/13/16,11/28/18,2018,Wed,Hardcover
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",0786856866,Rick Riordan,5,10/05/12,08/26/12,2012,Sun,Hardcover
28260587,"Empire of Storms (Throne of Glass, #5)",,Sarah J. Maas,5,03/28/16,12/29/16,2016,Thu,Hardcover
8811139,"Light (Gone, #6)",0061449180,Michael  Grant,5,01/30/13,01/29/15,2015,Thu,Hardcover
8811134,"Fear (Gone, #5)",0061449156,Michael  Grant,5,01/30/13,01/22/15,2015,Thu,Hardcover
8755785,"City of Heavenly Fire (The Mortal Instruments, #6)",1481426303,Cassandra Clare,5,12/02/12,07/24/14,2014,Thu,Hardcover
17950614,"UnDivided (Unwind, #4)",,Neal Shusterman,5,10/19/14,10/25/14,2014,Sat,Hardcover
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",0439785960,J.K. Rowling,5,10/05/12,09/28/11,2011,Wed,Paperback
8306857,"Divergent (Divergent, #1)",0062024027,Veronica Roth,5,10/05/12,06/25/12,2012,Mon,Hardcover
13545075,"UnWholly (Unwind, #2)",1442423684,Neal Shusterman,5,08/27/14,09/14/14,2014,Sun,ebook
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",1423140605,Rick Riordan,5,12/02/12,03/28/14,2014,Fri,Hardcover
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",1484724917,Rick Riordan,5,10/07/14,10/09/14,2014,Thu,Hardcover
7624272,"The Lost Hero (The Heroes of Olympus, #1)",0307711773,Rick Riordan,5,11/11/12,02/06/14,2014,Thu,Audio CD
12792658,"UnSouled (Unwind, #3)",147111810X,Neal Shusterman,5,08/27/14,10/01/14,2014,Wed,Paperback
7260188,"Mockingjay (The Hunger Games, #3)",0439023513,Suzanne Collins,5,10/05/12,12/16/11,2011,Fri,Hardcover
20613470,"Heir of Fire (Throne of Glass, #3)",1619630656,Sarah J. Maas,5,01/15/15,02/11/15,2015,Wed,Hardcover
12971616,"The Rise of Nine (Lorien Legacies, #3)",0061974587,Pittacus Lore,5,10/28/14,11/04/14,2014,Tue,Hardcover
12959086,The Demigod Diaries,1423163001,Rick Riordan,5,04/14/14,05/15/14,2014,Thu,Hardcover
