Unnamed: 0,Id,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,format,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,425818,"How to Catch a Star (The Boy, #1)",0007228074,Oliver Jeffers,2006.0,HarperCollinsChildren'sBooks,eng,"Once there was a boy, and that boy loved stars very much. So much so that he decided to catch one of his very own. But how? Waiting for them to grow tired from being up in the sky all night doesn't work. Climbing to the top of the tallest tree? No, not tall enough. The boy has a rocket ship . . . but it is made of paper and doesn't fly well at all. Finally, just when the boy is ready to give up, he learns that sometimes things aren't where, or what, we expect them to be.<p> First-time author/illustrator Oliver Jeffers offers a simple, childlike tale of reaching for the stars, and emerging with a friend.</p>",452,5606,2004.0,32.0,Hardcover,True,"Beegu;The Storm Whale;Handa's Surprise: Read and Share;Grandad's Island;The Snail and the Whale;I Am Henry Finch;Hana Hashimoto, Sixth Violin;Each Peach Pear Plum;Zog;Farmer Duck;The Day the Crayons Quit;Imaginary Fred;A Squash and a Squeeze;Snow White in New York;Owl Babies;Grandma Bird;The Tiger Who Came to Tea;The Promise",picture-books children-s-books children picture-book childrens kids childrens-books children-s space storytime,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408925941l/425818._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408925941l/425818._SX98_.jpg
0,24348893,Fireman Sam: The Famous Fireman (Fireman Sam Adventure Stories Book 1),MissingISBN,HiT Entertainment,2014.0,MissingPublisher,eng,Fireman Sam: The Famous Fireman (Fireman Sam Adventure Stories Book 1),0,6,2014.0,130.0,Paperback,False,None,childrens books-i-read-to-my-kid,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,22921936,I Love to Keep My Room Clean,MissingISBN,Shelley Admont,2014.0,MissingPublisher,eng,"Free video-book inside! <br />I Love to Keep My Room Clean (children's book) (Bedtime stories children's books collection) <br />Kids are masters of mess-making, especially in their rooms! How can you teach them to take care of their playthings and to keep things tidy? <br />This children’s book can motivate the kids to take responsibility and keep their room organized. Follow along as little bunny Jimmy and his brothers learn their lesson in this picture book. They learn to work together, clean up their room, and organize their toys. Once they finish, they finally have room for more fun and understand how important it is to keep their room clean. <br />This book is the part of the collection of short bedtime stories for children. <br />This story may be ideal for reading to your kids at bedtime and enjoyable for the whole family as well! <br />The gorgeous pictures will captivate your kids' hearts, and they will love to read this children’s book over and over again. It is suitable as a read-aloud book for preschoolers at bedtime or a self-read book for older children. <br />Scroll up and buy this children’s book now. Your children will love going back to this picture book again and again.",58,1818,2014.0,130.0,Paperback,False,"Wiggly the Worm;The Magical Zoo #1;The Jungle Crew;Dinosaur and Monster and The Magic Carpet (Dinosaur and Monster stories Book 1);The Mysterious Garden (Rebekah - Girl Detective #1);Children Books: Spike the Dinosaur (Early Beginner Readers Fiction Books Bedtime Stories Collection): Fun Short Stories for Kids, Jokes for Children, and ... (Fun Time Series for Beginning Readers);Rattles, the Barn Cat Misfit;5 Minute Tales - Bedtime Stories;Fairy and the Lost Wings;Willy the Whale (Children Books, Books for Kids, Bedtime Stories for Kids): Fun Short Stories, Games, Jokes for Kids, and a Coloring Book (Fun Time Series for Beginning Readers);Crabby the Crab;Bedtime Stories for Kids;The Enchanted Hat;100+ Knock Knock Jokes for Kids;Happy Monsters!;Finley the Fish;Cedric The Shark...Get's Toothache!;My Best Friend Is a Secret Agent: How Chip Became C.H.I.P. and Foiled the Freaky Fuzzy Invasion",children kids childrens children-s-books ebook children-books alexander-books picture-books kids-books childrens-books,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,21170197,Pinocchio,MissingISBN,Knowledge Works Company,2013.0,MissingPublisher,eng,"Pinocchio is the story of a young wooden puppet carved by a poor Italian woodworker named Gepetto. The story follows the mischievous adventures of Pinocchio as he sets out on a quest to become a real, live boy.<br /><br />A little history...This version by Knowledge Works Company is based off the original Pinnochio. This children's classic first appeared in 1883 in “The Adventures of Pinnochio” by Carl Collodi. Many versions have been seen since it originated, but we pride ourselves in keeping the classics as close to their original version as is possible. <br /><br />Enjoy this vividly illustrated version of the traditional story with your children.<br /><br />Knowledge Works Company strives to keep the classics alive! We want to be able to share the same stories our parents shared with us with you, so that you can share the classic children's fairy tales with your children.<br /><br />Knowledge Works offers Children's Story Books in both English and Spanish!",2,28,2013.0,130.0,Paperback,False,"CHACHA CHAUDHARY AND TEMPLE THIEF: CHACHA CHAUDHARY COMICS;The Extraordinarily Ordinary Life of Cassandra Jones: Walker Wildcats Year 1: Episode 1: The New Girl;Santa's Big Night;Princess Stories;Books for Girls :The Journey of the fairy: (Tales, Friendship, Grow up, Books for Girls 9-12) (Book of Fairy);Viola Witch's Black Magic: Diana Mermaid's Bedtime Stories Vol.2 (Children’s Book for ages 3-8) (Diana Mermaid's Stories);The Doll With Golden Hair;Journey to Shell Island (The Mermaid Adventures);I Don't want to Sleep;Kim lost her doll;Tom and John find a Treasure: It is a good bed time story to read to your child witch will provide you and your child a good time to strengthen your bond.;I'm a Magical Mermaid: Rhyming, picture book about Mermaids / bedtime reading / dressing up / early readers (Playing Dressing Up Picture Books);The Tale of Peter Rabbit;The Magical Zoo #1;My Grandma's Bag of Stories;PINKI AND SCHOOL PUNISHMENT;Books for Girls : Finding The Invisible Unicorn: (Tales, Friendship, Unicorn books for kids, Puberty Books for Girls 9-12);Princess the Unicorn",nogenreset,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,21157733,Storybook Collection (Disney Junior),1445473941,Walt Disney Company,2012.0,MissingPublisher,eng,"Beautifully designed, square, hardback storybook collection featuring 4 fun-filled tales from MMCH, Jungle Junction and Special Agent Oso. The fun never ends with your Disney Junior friends. Children of all ages will love reading or listening to these wonderful Disney stories. 160 pages. Battery requirements: Not required",1,11,2012.0,130.0,Hardcover,False,None,children-s combined-books-doubles ll-read audio_wanted eva-read girls-books-shelf books-i-read-to-my-kid mini my-daughters-books,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,29974518,I Don't Want to Eat Bugs (Lisbon's Misadventures Book 1),MissingISBN,Rachel Branton,2014.0,MissingPublisher,eng,I Don't Want to Eat Bugs (Lisbon's Misadventures Book 1),106,1201,2014.0,130.0,Paperback,True,"Bearded: A Very Hairy Children's Book;My Snowman, Paul (Snowman Paul Book 1);Crabby the Crab;Rattles, the Barn Cat Misfit;Dragon's Breath;Harry the Happy Mouse;Books For Kids: Little Cats Eww And Yuck: Stinky Kittens (Little Cats Eww And Yuck - Children's Books Book 2);The Great Storm;Books for Kids: Tommy Tiger Visits Veggie World: Illustration Book (Ages 3-8),Short Stories for Kids, Kids Books, Bedtime Stories For Kids, Children Books, Early Readers;Bees Like Flowers (Mummy Nature #2);Good Night, Good Night: A Going to Sleep Picture Book - A Rhyming Bedtime Story, Early/Beginner Readers, Children's book, Picture Book, kids book collection, Funny humor ebook, Education;Harry's Spooky Surprise!  (Harry The Happy Mouse #3);Dinosaur and Monster and The Magic Carpet (Dinosaur and Monster stories Book 1);Wiggly the Worm;Baby Turtle Searches for the Sun;Bedtime Little Bear;The Tale of the Clownfish and the Great Shark;I Am Not Afraid To Fail (Persistence Project Book 1)",kindle kids children childrens picture-books children-s owned childrens-books kids-books e-books,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,18366683,Cedric The Shark...Get's Toothache!,MissingISBN,Kay Carter,2013.0,Kay Carter Bedtime Stories For Children,eng,"Meet Cedric, a little boy shark who loves adventures and playing with his friends. <br />Cedric loves candy, lollies and toffees. But what happens when he gets greedy? <br /> Can his friend Billy the sea lion help him out? <br />A visit to Mary puts things right and Cedric learns a sound lesson.<br /><br />All Kay Carter's pre-school children's picture books contain the magical story world of cartoon friends and their adventures while growing up. A favorite Bedtime Story for children and adults alike. <br /><b>Don't Miss Out On The Other Books In This Series. Click my Author name above. Suited to ages 2-6 years old but will often remain a favorite once children start reading for themselves.</b><br /> Scroll back up and add to cart today!<br />Click the 'Look Inside' feature before you buy to take a sneak peek!<br />Amazon Prime Members - Borrow a copy now FREE! <br /><br />The Bedtime Stories for Children Series eBook Categories:<br />- Children's Picture Books<br />- Pre-school Children's Book <br />- Bedtime Stories For Children<br />- Rhyming Picture Books<br />- Children's Books<br />- Stories in Verse",33,517,2013.0,35.0,Kindle Edition,False,"The Tale of the Clownfish and the Great Shark;Baby Turtle Searches for the Sun;The Jungle Crew;Wiggly the Worm;Crabby the Crab;The Magical Zoo #1;Dinosaur and Monster and The Magic Carpet (Dinosaur and Monster stories Book 1);Boris to the Rescue (My Monster #1);Finley the Fish;5 Minute Tales - Bedtime Stories;Pomodoro Penguin Makes a Friend;Funny Dog Jokes for Kids! (100+ Clean Jokes for Children): 100+ Funny and Hilarious Dog Jokes (Funny and Hilarious Joke Book for Kids);Me Tawk Funny;Bedtime Little Bear;What Reggie Did on the Weekend: Seriously! (The Reggie Books Book 1);The Ant Thief (Bed Time Tales, #2);Christmas Stories for Kids;Books for Kids: LOL! (Funny Jokes for Kids): 101 Jokes for Kids - Games & Puzzles - Kids Jokes - Jokes for Children",children picture-book childrens kids kindle children-s-book killian under-x1f4af-pages toddler-young-child read-2019,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
0,17880215,Little Red Riding Hood,MissingISBN,Calee M. Lee,2013.0,Xist Publishing,en-GB,Little Red Riding Hood,1,23,2013.0,28.0,Kindle Edition,False,The Mysterious Garden (Rebekah - Girl Detective #1),books-i-read-to-my-kid izzys-books-2018 books-ive-read-with-izzy library free children-s-books 4and2the3kids owned children-books picture-books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367596409l/17880215._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367596409l/17880215._SX98_.jpg
0,16101018,The Day the Crayons Quit,0399255370,Drew Daywalt,2013.0,Philomel Books,eng,"Poor Duncan just wants to color. But when he opens his box of crayons, he finds only letters, all saying the same thing: We quit!<br /><br />Beige is tired of playing second fiddle to Brown. Blue needs a break from coloring all that water, while Pink just wants to be used. Green has no complaints, but Orange and Yellow are no longer speaking to each other. <br /><br />What is Duncan to do? Debut author Drew Daywalt and <i>New York Times</i> bestseller Oliver Jeffers create a colorful solution in this playful, imaginative story that will have children laughing and playing with their crayons in a whole new way.",4234,40684,2013.0,30.0,Hardcover,True,"Don't Let the Pigeon Drive the Bus!;The Book with No Pictures;Stuck;Dragons Love Tacos;I Want My Hat Back;The Rainbow Fish;The Pigeon Needs a Bath!;Lost and Found (The Boy, #2);The Gruffalo;A Bad Case of Stripes;Jim and the Beanstalk;The Heart and the Bottle;The Incredible Book Eating Boy;Click, Clack, Moo: Cows That Type;Owl Babies;That Rabbit Belongs to Emily Brown;The True Story of the 3 Little Pigs;Press Here",picture-books childrens children-s-books picture-book children children-s kids favorites childrens-books humor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397425766l/16101018._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397425766l/16101018._SX98_.jpg
0,17203352,The Jungle Book,MissingISBN,Rudyard Kipling,1893.0,MissingPublisher,en-GB,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.,3293,98451,1893.0,177.0,Kindle Edition,True,"The Merry Adventures of Robin Hood;Pinocchio;Treasure Island;Peter Pan;Gulliver's Travels;The Wonderful Wizard of Oz (Oz, #1);Black Beauty;White Fang;Around the World in Eighty Days (Extraordinary Voyages, #11);The Wind in the Willows;Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1);Journey to the Center of the Earth (Extraordinary Voyages, #3);Robinson Crusoe (Robinson Crusoe #1);The Prince and the Pauper;Mary Poppins (Mary Poppins, #1);The Call of the Wild;Aesop's Fables;Heidi (Heidi, #1-2)",classics fiction childrens classic fantasy owned children books-i-own kindle adventure,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371114472l/17203352._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371114472l/17203352._SX98_.jpg
