Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
425818,"How to Catch a Star (The Boy, #1)",0007228074,Oliver Jeffers,5,10/13/17,01/01/17,2017,Sun,Hardcover
24348893,Fireman Sam: The Famous Fireman (Fireman Sam Adventure Stories Book 1),,HiT Entertainment,5,08/04/16,08/04/16,2016,Thu,
22921936,I Love to Keep My Room Clean,,Shelley Admont,5,01/04/18,01/04/18,2018,Thu,
21170197,Pinocchio,,Knowledge Works Company,5,05/27/19,05/27/19,2019,Mon,
21157733,Storybook Collection,1445473941,Walt Disney Company,5,12/12/16,12/12/16,2016,Mon,Hardcover
29974518,I Don't Want to Eat Bugs (Lisbon's Misadventures Book 1),,Rachel Branton,5,06/03/19,06/03/19,2019,Mon,
18366683,Cedric The Shark...Get's Toothache!,,Kay Carter,5,06/14/18,06/21/18,2018,Thu,Kindle Edition
17880215,Little Red Riding Hood,,Calee M. Lee,5,06/21/18,06/21/18,2018,Thu,Kindle Edition
16101018,The Day the Crayons Quit,0399255370,Drew Daywalt,5,10/13/17,10/13/17,2017,Fri,Hardcover
17203352,The Jungle Book,,Rudyard Kipling,5,03/20/18,06/15/18,2018,Fri,Kindle Edition
20821105,The Fault in Our Stars,0147513731,John Green,5,06/26/16,06/22/16,2016,Wed,Paperback
8493424,"Up and Down (The Boy, #4)",0399255451,Oliver Jeffers,5,10/13/17,01/01/17,2017,Sun,Hardcover
8152092,Heavy Metal Mater and Other Tall Tales,0736427228,Frank Berrios,5,08/04/16,08/04/16,2016,Thu,Hardcover
33606660,I'd Rather Be Reading: A Library of Art for Book Lovers,1452155119,Guinevere de la Mare,5,12/18/17,01/02/18,2018,Tue,Hardcover
1059042,The Magic Paintbrush,0333964438,Julia Donaldson,5,12/19/16,12/20/16,2016,Tue,Paperback
7861053,Rework,0091929784,Jason Fried,5,10/11/17,12/14/17,2017,Thu,Paperback
6472357,Mater's Tall Tales: 3 Books in 1,0736426388,Walt Disney Company,5,08/04/16,12/27/17,2017,Wed,Hardcover
7047481,The Ring O'Bells mystery,,Enid Blyton,5,07/10/18,07/15/18,2018,Sun,Paperback
1420147,Lost and Found,0007150350,Oliver Jeffers,5,10/13/17,10/13/17,2017,Fri,Hardcover
35507157,The Secret Garden,,Frances Hodgson Burnett,5,08/26/19,08/26/19,2019,Mon,
2605115,My First Book of Tractors,1405445602,Kath Jewitt,5,09/26/16,09/26/16,2016,Mon,
3478,Message in a Bottle,0446676071,Nicholas Sparks,5,07/14/14,07/14/14,2014,Mon,Paperback
2326733,The Way Back Home,0007182287,Oliver Jeffers,5,10/13/17,10/13/17,2017,Fri,Hardcover
25120189,Animal Farm,9380914709,George Orwell,5,12/15/15,12/21/15,2015,Mon,ebook
28543424,BUBBLES IS LOST,,Various,4,08/04/16,08/04/16,2016,Thu,
7188278,The Metamorphosis,,Franz Kafka,4,09/26/16,09/27/16,2016,Tue,ebook
38319540,You Don't Know What Love Is: A Suspenseful Psychological Dramatic Novel About Family Life,,P. David Hornik,4,02/14/18,02/14/18,2018,Wed,
3431,The Five People You Meet in Heaven,1401308589,Mitch Albom,4,07/14/14,07/14/14,2014,Mon,Paperback
38229715,Little Maryam,1642490555,Hamid Baig,4,05/15/18,05/29/18,2018,Tue,Paperback
33648131,"The Notebook (The Notebook, #1)",,Nicholas Sparks,4,08/05/19,08/05/19,2019,Mon,Kindle Edition
366522,"P.S. I Love You (P.S. I Love You, #1)",0786890754,Cecelia Ahern,4,07/30/15,07/20/15,2015,Mon,Paperback
976,Deception Point,0671027387,Dan Brown,4,07/14/14,07/14/14,2014,Mon,Mass Market Paperback
3473,A Walk to Remember,0446693804,Nicholas Sparks,4,01/15/15,01/07/15,2015,Wed,Paperback
906749,Dear John,0751539260,Nicholas Sparks,4,03/27/17,03/29/17,2017,Wed,Paperback
128029,A Thousand Splendid Suns,1594489505,Khaled Hosseini,4,07/14/14,07/14/14,2014,Mon,Hardcover
4894,Who Moved My Cheese?,0091883768,Spencer Johnson,4,01/15/15,09/07/14,2014,Sun,Hardcover
960,"Angels & Demons (Robert Langdon, #1)",1416524797,Dan Brown,4,07/14/14,07/14/14,2014,Mon,Mass Market Paperback
35569600,Then The Doorbell Rang,9352019504,Capri Jalota,4,04/24/18,04/24/18,2018,Tue,
38474375,Lola Dutch: Is A Little Bit Much,1408886251,,4,07/04/18,07/04/18,2018,Wed,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",,J.K. Rowling,4,01/15/15,11/25/14,2014,Tue,Hardcover
4838864,Silly Tilly,0761455256,Eileen Spinelli,4,06/12/18,06/13/18,2018,Wed,Hardcover
34856155,"Thicker than Water (Murray of Letho, #10)",,Lexie Conyngham,4,05/02/17,05/01/17,2017,Mon,ebook
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",0439064864,J.K. Rowling,4,01/15/15,01/02/15,2015,Fri,Hardcover
39782203,The Next Person You Meet in Heaven: The sequel to The Five People You Meet in Heaven,075157189X,Mitch Albom,4,09/28/18,11/12/18,2018,Mon,
3466,"The Wedding (The Notebook, #2)",0446615862,Nicholas Sparks,4,07/14/14,07/14/14,2014,Mon,Paperback
33608960,Doll House,1612968074,John                  Hunt,4,11/06/17,11/12/17,2017,Sun,Paperback
48325369,Kids and Story Importance of Water: Book 1 Short Moral Story Illustrated for kids,,Nivedita Vedurla,4,10/04/19,10/04/19,2019,Fri,
40108988,Diary of a Baby,,Mahak Wadhwani,4,07/04/18,07/04/18,2018,Wed,ebook
40694402,"The Princess and the Pea (Timeless Fairy Tales, #0.5)",,K.M. Shea,4,09/16/18,09/16/18,2018,Sun,ebook
