,Id,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format,Unnamed: 0,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,49535947,5,09/04/19,12/19/19,2019,Thu,Hardcover,0,Looking for Miss Sargam: Stories of Music and Misadventure,MissingISBN,Shubha Mudgal,2016.0,MissingPublisher,eng,Looking for Miss Sargam: Stories of Music and Misadventure,5,28,2016.0,293.0,False,मित्रो मरजानी;The Sixth String of Vilayat Khan;Art Matters;The Far Field;The Long Hard Road Out of Hell;Haunted;Zarathushtra;This Land Is Our Land: An Immigrant’s Manifesto;The Rtusamhara of Kalidasa;गुनाहों का देवता;This Is How You Lose the Time War;A Secret History of Compassion;Killers (2019) #4;One Foot on the Ground: A Life Told Through the Body;Authentic Turkish Designs;Girl in the Mirror;Beyond the Sky and the Earth: A Journey Into Bhutan;Prelude to a Riot,book-club to-read-fiction bookclub,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1,7963,5,06/02/19,06/02/19,2019,Sun,Paperback,0,Characters and Viewpoint (Elements of Fiction Writing),MissingISBN,Orson Scott Card,1999.0,Writer's Digest Books,eng,"Vivid and memorable characters aren't born: they have to be made.<br /><br />This book is a set of tools: literary crowbars, chisels, mallets, pliers and tongs. Use them to pry, chip, yank and sift good characters out of the place where they live in your memory, your imagination and your soul.<br /><br />Award-winning author Orson Scott Card explains in depth the techniques of inventing, developing and presenting characters, plus handling viewpoint in novels and short stories. With specific examples, he spells out your narrative options–the choices you'll make in creating fictional people so ""real"" that readers will feel they know them like members of their own families.<br /><br />You'll learn how to: <br />draw the characters from a variety of sources, including a story's basic idea, real life–even a character's social circumstances <br />make characters show who they are by the things they do and say, and by their individual ""style"" <br />develop characters readers will love–or love to hate <br />distinguish among major characters, minor characters and walk-ons, and develop each one appropriately <br />choose the most effective viewpoint to reveal the characters and move the storytelling <br />decide how deeply you should explore your characters' thoughts, emotions and attitudes",355,4234,1988.0,182.0,True,"The Art of Fiction: Notes on Craft for Young Writers;Hooked: Write Fiction That Grabs Readers at Page One & Never Lets Them Go;The First Five Pages: A Writer's Guide To Staying Out of the Rejection Pile;Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish;Zen in the Art of Writing;Self-Editing for Fiction Writers: How to Edit Yourself Into Print;On Writing: A Memoir of the Craft;Revision & Self-Editing: Techniques for Transforming Your First Draft Into a Finished Novel;Characters, Emotion & Viewpoint: Techniques and Exercises for Crafting Dynamic Characters and Effective Viewpoints;Make a Scene: Crafting a Powerful Story One Scene at a Time;The Right to Write: An Invitation and Initiation Into the Writing Life;The Fire in Fiction: Passion, Purpose and Techniques to Make Your Novel Great;20 Master Plots: And How to Build Them;If You Want to Write: A Book about Art, Independence and Spirit;The Writer's Guide to Character Traits: Includes Profiles of Human Behaviors and Personality Types;The Writer's Journey: Mythic Structure for Writers;Dialogue: Techniques and exercises for crafting effective dialogue;How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling",writing non-fiction nonfiction reference on-writing writing-books owned writing-craft books-on-writing default,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2,45449456,5,12/16/19,01/06/20,2020,Mon,Hardcover,0,Journeys: A POET'S DIARY,MissingISBN,A K Ramanujan,2016.0,MissingPublisher,eng,Journeys: A POET'S DIARY,3,11,2016.0,293.0,False,"In Search of Equilibrium;Constellations;Oceanic;سيدات القمر;Upon a Burning Throne (Burnt Empire Saga, #1);Burnout: The Secret to Unlocking the Stress Cycle;The Undying;The Courtesan, the Mahatma and the Italian Brahmin: Tales from Indian History;Ten: The New Wave;Ten New Poets;നിലം പൂത്തു മലർന്ന നാൾ | Nilam Poothu Malarnna Naal;The Sand Libraries of Timbuktu: Poems;Arrow of God (The African Trilogy, #3);Three Plays: Naga-Mandala; Hayavadana; Tughlaq;The Haw Lantern;High Output Management;The Body Myth;The Promised Land: Poems from Itinerant Life",2020-recommendations best-books-2019 favorites dislocated found-by-chance travel biography,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3,44767249,5,01/06/20,01/06/20,2020,Mon,Hardcover,0,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,0525560343,Jodi Kantor,2019.0,Penguin Press,eng,"<b>
  <b>From the Pulitzer Prize-winning reporters who broke the news of Harvey Weinstein's sexual harassment and abuse for the <i>New York Times</i>, Jodi Kantor and Megan Twohey, the thrilling untold story of their investigation and its consequences for the #MeToo movement</b>
</b><br /><br />For many years, reporters had tried to get to the truth about Harvey Weinstein's treatment of women. Rumors of wrongdoing had long circulated. But in 2017, when Jodi Kantor and Megan Twohey began their investigation into the prominent Hollywood producer for the <i>New York Times</i>, his name was still synonymous with power. During months of confidential interviews with top actresses, former Weinstein employees, and other sources, many disturbing and long-buried allegations were unearthed, and a web of onerous secret payouts and nondisclosure agreements was revealed. These shadowy settlements had long been used to hide sexual harassment and abuse, but with a breakthrough reporting technique Kantor and Twohey helped to expose it. But Weinstein had evaded scrutiny in the past, and he was not going down without a fight; he employed a team of high-profile lawyers, private investigators, and other allies to thwart the investigation. When Kantor and Twohey were finally able to convince some sources to go on the record, a dramatic final showdown between Weinstein and the <i>New York Times</i> was set in motion.<br /><br />Nothing could have prepared Kantor and Twohey for what followed the publication of their initial Weinstein story on October 5, 2017. Within days, a veritable Pandora's box of sexual harassment and abuse was opened. Women all over the world came forward with their own traumatic stories. Over the next twelve months, hundreds of men from every walk of life and industry were outed following allegations of wrongdoing. But did too much change--or not enough? Those questions hung in the air months later as Brett Kavanaugh was nominated to the Supreme Court, and Christine Blasey Ford came forward to testify that he had assaulted her decades earlier. Kantor and Twohey, who had unique access to Ford and her team, bring to light the odyssey that led her to come forward, the overwhelming forces that came to bear on her, and what happened after she shared her allegation with the world.<br /><br />In the tradition of great investigative journalism, <i>She Said</i> tells a thrilling story about the power of truth, with shocking new information from hidden sources. Kantor and Twohey describe not only the consequences of their reporting for the #MeToo movement, but the inspiring and affecting journeys of the women who spoke up--for the sake of other women, for future generations, and for themselves.",1449,11837,2019.0,310.0,False,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators;Know My Name: A Memoir;The Witches Are Coming;Trick Mirror: Reflections on Self-Delusion;Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life;The Education of Brett Kavanaugh: An Investigation;Red at the Bone;The Dutch House;Three Women;Fleishman Is in Trouble;The Education of an Idealist: A Memoir;The Only Plane in the Sky: An Oral History of September 11, 2001;Such a Fun Age;In the Dream House;The Testaments (The Handmaid's Tale, #2);Nothing to See Here;Over the Top: A Raw Journey to Self-Love;Inside Out",non-fiction nonfiction feminism politics audiobooks audiobook true-crime read-in-2019 journalism audio,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573830483l/44767249._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573830483l/44767249._SX98_.jpg
4,44661920,5,03/30/19,03/30/19,2019,Sat,Paperback,0,All the Fires of Wind and Light,1939639190,Maya Khosla,2019.0,Sixteeen Rivers Press,eng,All the Fires of Wind and Light,1,1,2016.0,71.0,False,None,nogenreset,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555607877l/44661920._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555607877l/44661920._SX98_.jpg
5,43811212,5,12/16/19,12/16/19,2019,Mon,Paperback,0,Quichotte,178733192X,Salman Rushdie,2019.0,Jonathan Cape,eng,"In a tour-de-force that is both an homage to an immortal work of literature and a modern masterpiece about the quest for love and family, Booker Prize-winning, internationally bestselling author Salman Rushdie has created a dazzling Don Quixote for the modern age.<br /><br />Inspired by the Cervantes classic, Sam DuChamp, mediocre writer of spy thrillers, creates Quichotte, a courtly, addled salesman obsessed with television, who falls in impossible love with a TV star. Together with his (imaginary) son Sancho, Quichotte sets off on a picaresque quest across America to prove worthy of her hand, gallantly braving the tragicomic perils of an age where “Anything-Can-Happen”. Meanwhile his creator, in a midlife crisis, has equally urgent challenges of his own.<br /><br />Just as Cervantes wrote Don Quixote to satirise the culture of his time, Rushdie takes the reader on a wild ride through a country on the verge of moral and spiritual collapse. And with the kind of storytelling magic that is the hallmark of his work, the fully realised lives of DuChamp and Quichotte intertwine in a profoundly human quest for love and a wickedly entertaining portrait of an age in which fact is so often indiscernible from fiction.",713,3449,2019.0,393.0,False,"An Orchestra of Minorities;10 Minutes 38 Seconds in This Strange World;Ducks, Newburyport;The Man Who Saw Everything;Girl, Woman, Other;Night Boat to Tangier;Frankissstein: A Love Story;The Wall;Lanny;Lost Children Archive;The Testaments (The Handmaid's Tale, #2);The Cockroach;The Topeka School;Inland;Drive Your Plow Over the Bones of the Dead;The Water Dancer;The Nickel Boys;Gun Island",fiction contemporary fantasy magical-realism literary-fiction booker-2019 read-in-2019 library audiobook booker-prize,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563963578l/43811212._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563963578l/43811212._SX98_.jpg
6,41947189,5,09/04/19,09/04/19,2019,Wed,Hardcover,0,Bhupen Hazarika: As I Knew Him,9353023351,Kalpana Lajmi,2016.0,MissingPublisher,eng,Bhupen Hazarika: As I Knew Him,3,9,2016.0,293.0,False,"Conqueror Series Collection: Wolf of the Plains, Lords of the Bow, Bones of the Hills;Looking for Miss Sargam: Stories of Music and Misadventure;Zakir Hussain: A Life in Music;The Adivasi Will Not Dance;Suno Laddakh;Deh Hi Desh;Under Siege;Hitch 22: A Memoir;Why I am a Hindu;In the City of Gold and Silver:  The Story of Begum Hazrat Mahal;More Salt Than Pepper;Delhi: Unknown Tales of a City;Rise and Kill First: The Secret History of Israel's Targeted Assassinations;Driving the Saudis: A Chauffeur's Tale of the World's Richest Princesses (plus their servants, nannies, and one royal hairdresser);Ladies Circle;Melmoth;आँखों देखा पाकिस्तान;Beyond Magenta: Transgender Teens Speak Out",default non-fiction-to-read books-i-own,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7,41181600,5,05/27/19,12/16/19,2019,Mon,Hardcover,0,The Mastermind: Drugs. Empire. Murder. Betrayal.,0399590412,Evan Ratliff,2019.0,Random House,eng,"<b>The incredible true story of the decade-long quest to bring down Paul Le Roux—the creator of a frighteningly powerful Internet-enabled cartel who merged the ruthlessness of a drug lord with the technological savvy of a Silicon Valley entrepreneur</b><br /><br />It all started as an online prescription drug network, supplying hundreds of millions of dollars' worth of painkillers to American customers. It would not stop there. Before long, the business had turned into a sprawling multinational conglomerate engaged in almost every conceivable aspect of criminal mayhem. Yachts carrying $100 million in cocaine. Safe houses in Hong Kong filled with gold bars. Shipments of methamphetamine from North Korea. Weapons deals with Iran. Mercenary armies in Somalia. Teams of hitmen in the Philippines. Encryption programs so advanced that the government could not break them.<br /><br />The man behind it all, pulling the strings from a laptop in Manila, was Paul Calder Le Roux—a reclusive programmer turned criminal genius who could only exist in the networked world of the twenty-first century, and the kind of self-made crime boss that American law enforcement had never imagined.<br /><br />For half a decade, DEA agents played a global game of cat-and-mouse with Le Roux as he left terror and chaos in his wake. Each time they came close, he would slip away. It would take relentless investigative work, and a shocking betrayal from within his organization, to catch him. And when he was finally caught, the story turned again, as Le Roux struck a deal to bring down his own organization and the people he had once employed.<br /><br />Award-winning investigative journalist Evan Ratliff spent four years piecing together this intricate puzzle, chasing LeRoux's empire and his shadowy henchmen around the world, conducting hundreds of interviews and uncovering thousands of documents. The result is a riveting, unprecedented account of a crime boss built by and for the digital age.<br /><br /><b>Advance praise for <em>The Mastermind</em></b><br /><br />“As directors, we spend countless hours imagining heightened plots and memorable characters that will leave a lasting impression on audiences. The true tale of obsession, genius, intrigue, and vengeance detailed in <em>The Mastermind</em> is as gripping and cinematic as anything we could endeavor to conjure up.”—<b>Joe and Anthony Russo, directors of <em>Captain America: The Winter Soldier, Captain America: Civil War,</em> and <em>Avengers: Infinity War</em></b><br /><br />“With his relentless and fearless reporting, Evan Ratliff has pried open a hidden world filled with high-tech gangsters and drug kingpins and double-crossers and stone-cold hitmen. The story is as fascinating as it is terrifying, and it is one that will hold you in its grip.”—<b>David Grann, author of <em>Killers of the Flower Moon</em></b><br /><br />“If truth is stranger than fiction, then <em>The Mastermind</em> is the truest book you’ll read this year. The only thing predictable about it is how quickly you’ll turn the pages.”—<b>Noah Hawley, author of <em>Before the Fall</em> and creator of the TV series <em>Fargo</em></b><br /> <br />“This is a mesmerizing, absolutely bonkers story about a man as brilliant as he is villainous. You’ll find yourself sucked in, freaked out, and ultimately blown away by Ratliff's storytelling and tireless reporting. <em>The Mastermind</em> is a masterpiece.”—<b>Nick Thompson, editor-in-chief, <em>Wired</em></b>",290,2394,2019.0,480.0,False,"Bitcoin Billionaires: A True Story of Genius, Betrayal, and Redemption;The Players Ball: A Genius, a Con Man, and the Secret History of the Internet's Rise;Super Pumped: The Battle for Uber;Say Nothing: A True Story of Murder and Memory in Northern Ireland;Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster;Norco '80: The True Story of the Most Spectacular Bank Robbery in American History;Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World;Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World;American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century;Kochland: The Secret History of Koch Industries and Corporate Power in America;Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators;Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee;American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road;Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers;Hunting LeRoux: The Inside Story of the DEA Takedown of a Criminal Genius and His Empire;Breaking and Entering: The Extraordinary Story of a Hacker Called ""Alien"";Bad Blood: Secrets and Lies in a Silicon Valley Startup;The Last Stone",non-fiction true-crime nonfiction crime biography history audiobooks audiobook drugs library,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540398094l/41181600._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1540398094l/41181600._SX98_.jpg
8,41104077,5,12/16/19,01/06/20,2020,Mon,Hardcover,0,Invisible Women: Data Bias in a World Designed for Men,1419729071,Caroline Criado-Pérez,2019.0,Harry N. Abrams,eng,"Imagine a world where your phone is too big for your hand, where your doctor prescribes a drug that is wrong for your body, where in a car accident you are 47% more likely to be seriously injured, where every week the countless hours of work you do are not recognised or valued. If any of this sounds familiar, chances are that you're a woman.<br /><br />Invisible Women shows us how, in a world largely built for and by men, we are systematically ignoring half the population. It exposes the gender data gap – a gap in our knowledge that is at the root of perpetual, systemic discrimination against women, and that has created a pervasive but invisible bias with a profound effect on women’s lives.<br /><br />Award-winning campaigner and writer Caroline Criado Perez brings together for the first time an impressive range of case studies, stories and new research from across the world that illustrate the hidden ways in which women are forgotten, and the impact this has on their health and well-being. From government policy and medical research, to technology, workplaces, urban planning and the media, Invisible Women reveals the biased data that excludes women. In making the case for change, this powerful and provocative book will make you see the world anew.",1667,9830,2019.0,411.0,False,"Because Internet: Understanding the New Rules of Language;She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement;The Testaments (The Handmaid's Tale, #2);The Witches Are Coming;Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators;Trick Mirror: Reflections on Self-Delusion;The Gendered Brain: The New Neuroscience That Shatters the Myth of the Female Brain;Superior: The Return of Race Science;The Body: A Guide for Occupants;Talking to Strangers: What We Should Know about the People We Don't Know;Girl, Woman, Other;Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life;Know My Name: A Memoir;Sex Power Money;The Uninhabitable Earth: Life After Warming;The Five: The Untold Lives of the Women Killed by Jack the Ripper;Three Women;My Sister, the Serial Killer",non-fiction nonfiction feminism science audiobook politics feminist favorites audiobooks read-in-2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550931169l/41104077._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550931169l/41104077._SX98_.jpg
9,28815,5,05/09/16,07/12/16,2016,Tue,Paperback,0,Influence: The Psychology of Persuasion,006124189X,Robert B. Cialdini,2006.0,Harper Business,eng,"Influence, the classic book on persuasion, explains the psychology of why people say ""yes""—and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.<br /><br />You'll learn the six universal principles, how to use them to become a skilled persuader—and how to defend yourself against them. Perfect for people in all walks of life, the principles of Influence will move you toward profound personal change and act as a driving force for your success.",3206,86134,1984.0,320.0,False,"How to Win Friends and Influence People;Thinking, Fast and Slow;Think and Grow Rich;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;The Power of Habit: Why We Do What We Do in Life and Business;The 4-Hour Workweek;Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant;How to Make Millions with Your Ideas: An Entrepreneur's Guide;Built to Last: Successful Habits of Visionary Companies;Start with Why: How Great Leaders Inspire Everyone to Take Action;Rich Dad, Poor Dad;The Intelligent Investor;Getting Things Done: The Art of Stress-Free Productivity;Zero to One: Notes on Startups, or How to Build the Future;The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It;Never Split the Difference: Negotiating As If Your Life Depended On It;The Personal MBA: Master the Art of Business;Made to Stick: Why Some Ideas Survive and Others Die",psychology business non-fiction self-help nonfiction marketing favorites leadership self-improvement personal-development,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
