Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
13127599,The Shoemaker's Wife,0061257095,Adriana Trigiani,5,03/28/19,03/28/19,2019,Thu,Hardcover
6837103,The Kitchen House,1439153663,Kathleen Grissom,5,09/07/18,03/27/19,2019,Wed,Paperback
43982433,Someone We Know,0525557652,Shari Lapena,5,06/23/19,11/03/19,2019,Sun,Hardcover
6493208,The Immortal Life of Henrietta Lacks,1400052173,Rebecca Skloot,5,10/15/18,10/15/18,2018,Mon,Hardcover
6366437,Half Broke Horses,1416586288,Jeannette Walls,5,03/28/19,03/28/19,2019,Thu,Hardcover
32559,The Fall of the House of Usher and Other Tales,0451526759,Edgar Allan Poe,5,10/16/16,10/16/16,2016,Sun,Paperback
18308491,"The Outlander Series 7-Book Bundle: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn, The Fiery Cross, A Breath of Snow and Ashes, An Echo in the Bone",,Diana Gabaldon,5,10/16/16,10/16/16,2016,Sun,Kindle Edition
49465,Those Who Save Us,0156031663,Jenna Blum,5,10/15/18,10/15/18,2018,Mon,Paperback
17802747,What She Left Behind,0758278454,Ellen Marie Wiseman,5,06/25/19,07/18/19,2019,Thu,Paperback
41957126,Verity,,Colleen Hoover,5,03/31/19,09/06/19,2019,Fri,Paperback
43758,"The Queen of the Damned (The Vampire Chronicles, #3)",0345419626,Anne Rice,5,10/16/16,10/16/16,2016,Sun,Paperback
22571565,Where All Light Tends to Go,0399172777,David    Joy,5,04/07/19,04/23/19,2019,Tue,Hardcover
41487,No Place Like Home,0743497287,Mary Higgins Clark,5,03/28/19,03/28/19,2019,Thu,Paperback
27834600,"In a Dark, Dark Wood",1501112333,Ruth Ware,5,10/15/18,10/15/18,2018,Mon,Paperback
24611868,The Gilded Hour,0425271811,Sara Donati,5,10/17/16,12/31/19,2019,Tue,Hardcover
25813937,Glory Over Everything: Beyond The Kitchen House,1476748446,Kathleen Grissom,5,10/15/18,10/15/18,2018,Mon,Hardcover
5364,"Dragonfly in Amber (Outlander, #2)",0385335970,Diana Gabaldon,5,10/17/16,10/15/18,2018,Mon,Paperback
15800286,The Flowers in the Attic Series: The Dollangangers,1476704171,V.C. Andrews,5,03/28/19,03/28/19,2019,Thu,ebook
42080142,The Turn of the Key,1501188771,Ruth Ware,5,03/25/19,11/16/19,2019,Sat,Hardcover
29638166,From Sand and Ash,,Amy Harmon,5,11/24/19,12/02/19,2019,Mon,Paperback
546018,Roots: The Saga of an American Family,0440174643,Alex Haley,5,03/28/19,03/28/19,2019,Thu,Mass Market Paperback
10964,"Outlander (Outlander, #1)",0440242940,Diana Gabaldon,5,10/17/16,10/15/18,2018,Mon,Mass Market Paperback
28815474,The Couple Next Door,0735221081,Shari Lapena,5,10/20/18,10/20/18,2018,Sat,Hardcover
32796253,Final Girls,1101985364,Riley Sager,5,01/12/19,01/06/20,2020,Mon,Hardcover
