,Id,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format,Unnamed: 0,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,818124,5,10/11/18,10/11/18,2018,Thu,Paperback,0,Birthday Stories: Selected and Introduced by Haruki Murakami,0099481553,Haruki Murakami,2006.0,Vintage,eng,"<i>Alternate cover edition <a href=""https://www.goodreads.com/book/show/18483648-birthday-stories"" rel=""nofollow"">here</a>.</i><br /><br />This is a collection of 13 birthday stories from some of the most distinguished authors of recent years. The stories have been selected and introduced by Haruki Murakami.",245,3010,2004.0,224.0,False,"Sunflowers From Sarrah;My Father’s Garden;Glittering City;Chup: Breaking the Silence About India's Women;The Other: Stories of Difference;An Ocean of Grey;Despre frumusețea uitată a vieții;Singură pe Drumul Mătăsii: 80 de zile, 15 000 km, 2 500 de ani de istorie;Pământul este plat!;Festive Spirits: Three Christmas Stories;The Philosopher at the End of the Universe: Philosophy Explained Through Science Fiction Films;Păpădiile;Mixed-Race Superman;Hold kæft og vær smuk;Homeric;Los cuerpos del verano;The Porcupine",short-stories fiction murakami haruki-murakami japanese japan books-i-own owned anthology favorites,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389119718l/818124._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389119718l/818124._SX98_.jpg
1,28249418,5,10/11/18,10/11/18,2018,Thu,Paperback,0,Being Happy!,MissingISBN,Andrew Matthews,1988.0,MissingPublisher,eng,Being Happy!,321,2965,1988.0,110.0,True,"La Vaca;Cà Phê Cùng Tony;Tôi Tự Học;Tuổi Trẻ Đáng Giá Bao Nhiêu;I Am Gifted, So Are You!;Who Moved My Cheese?;Trên Đường Băng;Khuyến Học;Vừa Nhắm Mắt Vừa Mở Cửa Sổ;Tuổi Thơ Dữ Dội;La ladrona de la luna (El príncipe del sol, #2);Mắt Biếc;La ley del espejo;You Can Read Anyone: Never Be Fooled, Lied To, or Taken Advantage of Again;Leadership 101: What Every Leader Needs to Know;The Enzyme Factor;Cẩm nang tự học IELTS;Life and Teaching Of The Masters Of The Far East",self-help psychology non-fiction favorites self-improvement self-development owned nonfiction personal-development andrew-matthews,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2,27994459,5,01/29/18,01/29/18,2018,Mon,Paperback,0,Tao Te Ching: Golden Illustrated Classics (Comes with a Free Audiobook),MissingISBN,Lao Tzu,-600.0,MissingPublisher,eng,"How is this book unique?   <br />  Original &amp; Unabridged Edition  <br /> Tablet and e-reader formatted  <br /> Short Biography is also included  <br /> 15 Illustrations are included   <br /> One of the best books to read  <br /> Best fiction books of all time  <br /> Bestselling Novel   <br /> Classic historical fiction books  <br /> <br />The Tao Te Ching, Daodejing, Dao De Jing, or Daode jing (simplified Chinese: 道德经; traditional Chinese: 道德經; pinyin: Dàodéjīng), also simply referred to as the Laozi (Chinese: 老子; pinyin: Lǎozǐ), is a Chinese classic text. According to tradition, it was written around 6th century BC by the sage Laozi (or Lao Tzu, Chinese: 老子; pinyin: Lǎozǐ, literally meaning ""Old Master""), a record-keeper at the Zhou dynasty court, by whose name the text is known in China. The text's true authorship and date of composition or compilation are still debated, although the oldest excavated text dates back to the late 4th century BC. The Tao Te Ching, along with the Zhuangzi, is a fundamental text for both philosophical and religious Taoism, and strongly influenced other schools, such as Legalism, Confucianism, and Chinese Buddhism, which when first introduced into China was largely interpreted through the use of Daoist words and concepts. Many Chinese artists, including poets, painters, calligraphers, and even gardeners, have used the Daodejing as a source of inspiration. Its influence has also spread widely outside East Asia, and is among the most translated works in world literature. The Wade–Giles romanization ""Tao Te Ching"" dates back to early English transliterations in the late 19th century; its influence can be seen in words and phrases that have become well established in English. ""Daodejing"" is the pinyin romanization.",4406,103860,-600.0,110.0,False,"The I Ching or Book of Changes;The Analects;Tao: The Watercourse Way;Meditations;The Bhagavad Gita;The Art of War;Siddhartha;The Book of Chuang Tzu;The Dhammapada;Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice;The Tao of Pooh;Zen Flesh, Zen Bones: A Collection of Zen and Pre-Zen Writings;The Power of Now: A Guide to Spiritual Enlightenment;A New Earth: Awakening to Your Life's Purpose;The Prophet;The Te of Piglet;The Way of Zen;The Way of Chuang Tzu (Shambhala Library)",philosophy non-fiction favorites religion classics spirituality poetry nonfiction spiritual owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3,44285735,5,07/09/19,07/09/19,2019,Tue,Paperback,0,Shakti (Amar Chitra Katha),MissingISBN,Reena Puri,2014.0,MissingPublisher,eng,Shakti (Amar Chitra Katha),1,18,2014.0,110.0,False,"Hanuman (Amar Chitra Katha);Saptarshi - The Seven Supreme Sages (Amar Chitra Katha);Kannappa;Andher Nagari and Other Stories (5 in 1);Stories of Creation Credit;Agastya;Tales Of Vishnu (Amar Chitra Katha);Stories of Wizards and Witches: Contains 25 classic Blyton Tales (Bumper Short Story Collections Book 20);Imprisoned (Brides of the Kindred #22);Awakened by the Giant (Brides of the Kindred #22.5; Kindred Tales #14);INDEFENSIBLE: Van Breda (Yellow Eyes Book 1);Year 5 Maths Targeted Practice Workbook (Collins KS2 Practice);Branded Captive (Wren's Song, #1);Ayyappan (Amar Chitra Katha);Jagannatha of puri;Great Indian Classics (20 in 1): Special Issue (Amar Chitra Katha);Bahubali Ready;Bhagavad Gita for Dummies",amar-chitra-katha read-in-2019,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4,19197359,5,10/11/18,04/24/19,2019,Wed,Paperback,0,Selected Short Stories,MissingISBN,Rabindranath Tagore,1917.0,MissingPublisher,eng,"Poet, novelist, painter and musician, Rabindranath Tagore (1861-1941) is the grand master of Bengali culture. Written during the 1890s, the stories in this selection brilliantly recreate vivid images of Bengali life and landscapes in their depiction of peasantry and gentry, casteism, corrupt officialdom and dehumanizing poverty. Yet Tagore is first and foremost India's supreme Romantic poet, and in these stories he can be seen reaching beyond mere documentary realism towards his own profoundly original vision.",171,5889,1917.0,110.0,False,"Stories of India;World War 1: A History From Beginning to End;The Complete Adventures of Feluda, Vol. 2;101 Amazing Facts;Master Your Mind, Master Your Life: 15 Mindset Hacks That Will Unleash Your Full Potential TODAY;পদ্মানদীর মাঝি;Titanic: The Story About The Unsinkable Ship;PYTHON: PROGRAMMING: A BEGINNER’S GUIDE TO LEARN PYTHON IN 7 DAYS;How to Think Bigger: Aim Higher, Get More Motivated, and Accomplish Big Things;Alexander the Great: The Macedonian Who Conquered the World;The Text;How to Speak and Write Correctly;गबन;परीक्षा;Wacky Words: Vocabulary Cartoons;Turning Points: A Journey Through Challenges;The Complete Adventures of Feluda, Vol. 1;সেরা সত্যজিৎ",short-stories fiction india classics favorites literature indian owned kindle indian-authors,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5,34196772,5,08/23/17,08/23/17,2017,Wed,Paperback,0,Buddha (Visionaries),MissingISBN,Anant Pai,2007.0,MissingPublisher,eng,"King Suddhodana was at his wit's end. He had surrounded his handsome young heir with comfort and riches, love and respect, but Prince Siddhartha was still not content. One night, the prince abandoned his family. Exchanging his royal robes for a begging bowl, his luxurious palace for the shade of a tree, Siddhartha lived the life of an ascetic to seek the ultimate truth about life and suffering. His search led him to enlightenment and he became Buddha, the Awakened One.",4,206,2007.0,110.0,True,Ganesha;Saraswati (Amar Chitra Katha);Stories Of Courage;Tirupati;Bahubali Ready;The Celestial Necklace (Amar Chitra Katha);Tales From The Upanishads;The Secret of the Talking Bird (Amar Chitra Katha);Tales of Durga;Albert Einstein;Vikramaditya;SUPPANDI (VOL 2) : TINKLE COLLECTION (SUPPANDI : TINKLE COLLECTION);Amar Chitra Katha - Valmiki's Ramayan;Ganga (Amar Chitra Katha);Jagannatha of puri;Kesari the Flying Thief;The Lost Prince (Amar Chitra Katha);The learned Pandit,amar-chitra-katha comics mythology comics-graphic-novels indian south-asia read-2019 non-fiction kindle indian-author,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6,21590206,5,01/29/18,11/24/19,2019,Sun,Paperback,0,"Stories From the Jatakas, 5 in 1: (Amar Chitra Katha 5 in 1 Series)",8184821727,Anant Pai,1997.0,MissingPublisher,eng,"Collection of the following titles: monkey stories, deer stories, elephant stories, bird stories, jackal stories",1,35,1997.0,110.0,False,"Kapilipisaara;Inner Engineering: A Yogi's Guide to Joy;Arjun: Without a Doubt;Cat Among the Pigeons (Hercule Poirot, #34);A Murder Is Announced (Miss Marple, #5);Here, There and Everywhere: Best-Loved Stories of Sudha Murthy;Every Breath;Dead Man's Folly (Hercule Poirot, #33);The Boys Who Fought;Bookasura #2: Koobandhee [Jun 01, 2016] Venkatesh, Arundhati;Bookasura: The Adventures of Bala and the Book-Eating Monster;Maya in a Mess;Susie Will Not Speak;Dashing Through the Snow;Manya Learns to Roar (Children First);The Best Of Tenali Raman;The Forest of Stories (Mahabharata, #1);The Choice",comics amar-chitra-katha my-books favorites,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7,33553369,5,01/29/18,01/29/18,2018,Mon,Paperback,0,Meditation-And-Its-Methods,MissingISBN,Swami Vivekananda,1976.0,MissingPublisher,eng,This book is a collection of the writings of Swami Vivekananda on the theory and practice of meditation. It is more of an introductory book with plenty of inspiration passages to motivate a reader to adopt meditation for a better and peaceful life.,51,1172,1976.0,110.0,False,"Autobiography of a Yogi;Inner Engineering: A Yogi's Guide to Joy;The Wellness Sense: A practical guide to your physical and emotional health based on Ayurvedic and yogic wisdom;Word Power Made Easy;The 3 Mistakes of My Life;My Gita;Life's Amazing Secrets: How to Find Balance and Purpose in Your Life;Chanakya Neeti;A Million Thoughts;Wings of Fire: An Autobiography;Mind is your Business;THINK STRAIGHT: Change Your Thoughts, Change Your Life;My Journey : Transforming Dreams into Actions;Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career;The Incredible Life of a Himalayan Yogi: The Times, Teachings and Life of Living Shiva: Baba Lokenath Brahmachari;2 States: The Story of My Marriage;The Powers of The Mind;मृत्युंजय",meditation spirituality non-fiction spiritual swami-vivekananda kindle philosophy 1 owned yoga,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8,634583,5,01/29/18,01/29/18,2018,Mon,Paperback,0,Wings of Fire: An Autobiography,8173711461,A.P.J. Abdul Kalam,2011.0,Universities Press,en-US,"Avul Pakir Jainulabdeen Abdul Kalam, the son of a little-educated boat-owner in Rameswaram, Tamil Nadu, had an unparalleled career as a defence scientist, culminating in the highest civilian award of India, the Bharat Ratna. As chief of the country's defence research and development programme, Kalam demonstrated the great potential for dynamism and innovation that existed in seemingly moribund research establishments. This is the story of Kalam's rise from obscurity and his personal and professional struggles, as well as the story of Agni, Prithvi, Akash, Trishul and Nag-missiles that have become household names in India and that have raised the nation to the level of a missile power of international reckoning. This is also the saga of independent India's struggle for technological self-sufficiency and defensive autonomy-a story as much about politics, domestic and international, as it is about science.",1259,34641,1999.0,110.0,False,"You Can Win: A Step by Step Tool for Top Achievers;Gandhi: An autobiography;2 States: The Story of My Marriage;Five Point Someone: What Not to Do at IIT;Half Girlfriend;The Immortals of Meluha (Shiva Trilogy, #1);The 3 Mistakes of My Life;Revolution 2020: Love, Corruption, Ambition;Playing It My Way: My Autobiography;The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny;Stay Hungry Stay Foolish;The Oath of the Vayuputras (Shiva Trilogy, #3);One Night at the Call Center;Data Structures and Algorithms Made Easy;The Secret of the Nagas (Shiva Trilogy #2);The Power of Your Subconscious Mind;Scion of Ikshvaku (Ram Chandra #1);Word Power Made Easy",biography non-fiction autobiography favorites biographies owned india indian-authors books-i-own wings-of-fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295670969l/634583._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295670969l/634583._SX98_.jpg
9,19282740,5,01/29/18,01/29/18,2018,Mon,Paperback,0,You Can Win: A step by step tool for top achievers,9382951717,Shiv Khera,2014.0,Bloomsbury India,eng,"An easy-to-read, practical, common-sense guide that will take you from ancient wisdom to modern-day thinking, <i>You Can Win</i> helps you establish new goals, develop a new sense of purpose, and generate new ideas about yourself and your future. It guarantees, as the title suggests, a lifetime of success. The book enables you to translate positive thinking into attitude, ambition and action to give you the winning edge.<br /><br />This book will help you to:<br />· Build confidence by mastering the seven steps to positive thinking<br />· Be successful by turning weaknesses into strengths<br />· Gain credibility by doing the right things for the right reasons<br />· Take charge by controlling things instead of letting them control you<br />· Build trust by developing mutual respect with people around you<br />· Accomplish more by removing the barriers to effectiveness.",542,14706,1998.0,308.0,False,"Wings of Fire: An Autobiography;Stay Hungry Stay Foolish;The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny;Five Point Someone: What Not to Do at IIT;Ignited Minds: Unleashing the Power Within India;The 3 Mistakes of My Life;2 States: The Story of My Marriage;Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari;Revolution 2020: Love, Corruption, Ambition;The Power of Your Subconscious Mind;One Night at the Call Center;Word Power Made Easy;Half Girlfriend;Megaliving!: 30 Days to a Perfect Life - The Ultimate Action Plan for Total Mastery of Your Mind, Body and Character;What Young India Wants;Gandhi: An autobiography;The Immortals of Meluha (Shiva Trilogy, #1);I Too Had a Love Story",self-help non-fiction favorites inspirational motivational books-i-own business you-can-win indian-authors owned,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408915777l/19282740._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408915777l/19282740._SX98_.jpg
