Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
818124,Birthday Stories: Selected and Introduced by Haruki Murakami,0099481553,Haruki Murakami,5,10/11/18,10/11/18,2018,Thu,Paperback
28249418,Being Happy!,,Andrew Matthews,5,10/11/18,10/11/18,2018,Thu,
27994459,Tao Te Ching: Golden Illustrated Classics (Comes with a Free Audiobook),,Lao Tzu,5,01/29/18,01/29/18,2018,Mon,
44285735,Shakti,,Reena Puri,5,07/09/19,07/09/19,2019,Tue,
19197359,Selected Short Stories,,Rabindranath Tagore,5,10/11/18,04/24/19,2019,Wed,
34196772,Buddha,,Anant Pai,5,08/23/17,08/23/17,2017,Wed,
21590206,"Stories From the Jatakas, 5 in 1: (Amar Chitra Katha 5 in 1 Series)",8184821727,Anant Pai,5,01/29/18,11/24/19,2019,Sun,
33553369,Meditation-And-Its-Methods,,Swami Vivekananda,5,01/29/18,01/29/18,2018,Mon,
634583,Wings of Fire: An Autobiography,8173711461,A.P.J. Abdul Kalam,5,01/29/18,01/29/18,2018,Mon,
19282740,You Can Win: A step by step tool for top achievers,9382951717,Shiv Khera,5,01/29/18,01/29/18,2018,Mon,Paperback
20622531,You Can Win: A Step-by-Step Tool for Top Achievers,,Shiv Khera,5,01/29/18,01/29/18,2018,Mon,
18856514,The Hungry Stones and Other Stories,,Rabindranath Tagore,5,10/11/18,10/11/18,2018,Thu,
18866219,The Other Side of Midnight,,Sidney Sheldon,5,04/29/19,05/08/19,2019,Wed,
18884675,Lolita,,Vladimir Nabokov,5,01/29/18,01/29/18,2018,Mon,
119322,"The Golden Compass (His Dark Materials, #1)",0679879242,Philip Pullman,5,08/30/15,08/30/15,2015,Sun,Hardcover
38709,"Holes (Holes, #1)",0439244196,Louis Sachar,5,08/30/15,08/30/15,2015,Sun,Paperback
2020569,Are You Afraid Of The Dark?,0007199066,Sidney Sheldon,5,01/29/18,01/29/18,2018,Mon,Paperback
18925272,Memories of Midnight,,Sidney Sheldon,5,05/08/19,05/12/19,2019,Sun,
16235,Sister of My Heart (Anju and Sudha #1),038548951X,Chitra Banerjee Divakaruni,5,03/22/18,06/09/18,2018,Sat,Paperback
7618572,Nothing Lasts Forever,8172234856,Sidney Sheldon,5,01/29/18,01/29/18,2018,Mon,
3950967,The Tales of Beedle the Bard,0747599874,J.K. Rowling,5,01/29/18,01/29/18,2018,Mon,Hardcover
113436,"Eragon (The Inheritance Cycle, #1)",0375826696,Christopher Paolini,5,08/30/15,08/30/15,2015,Sun,Paperback
28178146,The Art of War,,Sun Tzu,5,01/29/18,01/01/18,2018,Mon,
41865,"Twilight (Twilight, #1)",0316015849,Stephenie Meyer,5,08/30/15,08/30/15,2015,Sun,Paperback
