Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
17899948,Rebecca,0316323705,Daphne du Maurier,5,07/20/15,07/20/15,2015,Mon,ebook
35895961,"Those Brave, Foolish Souls from the City of Swords (Yarnsworld #3)",197757615X,Benedict Patrick,5,12/02/17,12/01/17,2017,Fri,Paperback
35260922,Dragonship,,J.P. Ashman,5,06/07/17,06/08/17,2017,Thu,Kindle Edition
34907236,Fates and Furies (The Sphinx Book 4),,Raye Wagner,5,06/28/17,06/28/17,2017,Wed,Paperback
785454,Train to Pakistan,,Khushwant Singh,5,05/09/18,05/09/18,2018,Wed,Paperback
124432,White Mughals: Love and Betrayal in Eighteenth-Century India,014200412X,William Dalrymple,5,03/17/17,01/01/17,2017,Sun,Paperback
99383,"Blood Rites (The Dresden Files, #6)",0451459873,Jim Butcher,5,06/01/17,06/01/17,2017,Thu,Paperback
34101303,Ghosts of Tomorrow,,Michael R. Fletcher,5,04/04/17,04/12/17,2017,Wed,Kindle Edition
34023133,Faithless,,Graham Austin-King,5,05/25/17,06/04/17,2017,Sun,Kindle Edition
33916060,"Blackwing (Raven's Mark, #1)",0399587799,Ed McDonald,5,04/16/17,09/16/17,2017,Sat,Paperback
34865057,"The Trouble with Twelfth Grave (Charley Davidson, #12)",,Darynda Jones,5,10/31/17,10/31/17,2017,Tue,Paperback
276113,"A History of India, Vol. 1: From Origins to 1300 (A History of India #1)",0140138358,Romila Thapar,5,10/20/17,10/29/17,2017,Sun,Paperback
32925689,"Hollywood Homicide (Detective by Day,#1)",,Kellye Garrett,5,05/25/17,05/31/17,2017,Wed,Paperback
32785013,Hollywood Homicide (Detective by Day #1),0738752614,Kellye Garrett,5,11/23/17,01/01/17,2017,Sun,Paperback
124429,"The Last Mughal: The Fall of a Dynasty: Delhi, 1857",1400043107,William Dalrymple,5,03/17/17,01/01/17,2017,Sun,Hardcover
34918303,The Court of Broken Knives (Empires of Dust #1),,Anna Smith Spark,5,03/17/17,07/04/17,2017,Tue,Paperback
9777,The God of Small Things,0679457313,Arundhati Roy,5,06/14/17,01/01/17,2017,Sun,Hardcover
35616002,Godblind (Godblind #1),000821591X,Anna Stephens,5,11/23/17,11/23/17,2017,Thu,ebook
395962,"Kushiel's Chosen (Phèdre's Trilogy, #2)",0765345048,Jacqueline Carey,5,01/20/17,01/26/17,2017,Thu,Mass Market Paperback
11588,"The Shining (The Shining, #1)",0450040186,Stephen King,5,12/31/16,01/01/14,2014,Wed,Paperback
31125554,"The Fourth Monkey (4MK Thriller, #1)",0544968840,J.D. Barker,5,02/18/17,06/07/17,2017,Wed,Hardcover
30357476,Beyond the Veil,,Jessica Majzner,5,08/31/16,10/21/16,2016,Fri,Paperback
7670,"The Andromeda Strain (Andromeda, #1)",0060541814,Michael Crichton,5,12/07/16,12/07/16,2016,Wed,Paperback
10147,"The Complete Sherlock Holmes, Volume I",1593080344,Arthur Conan Doyle,5,07/28/16,07/28/16,2016,Thu,Paperback
34568788,"Red Sister (Book of the Ancestor, #1)",0008152314,Mark  Lawrence,5,11/23/17,01/01/17,2017,Sun,ebook
479309,Naked in Death (In Death #1),0425148297,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Mass Market Paperback
25357600,"Silent City (Corin Hayes, #1)",,G.R. Matthews,5,11/05/16,01/01/17,2017,Sun,Paperback
1197242,Encyclopedia of Fantasy and Horror Fiction,0816069247,Don D'Ammassa,5,12/31/16,01/31/17,2017,Tue,Paperback
25337081,"Brotherhood in Death (In Death, #42)",0399170898,J.D. Robb,5,09/06/16,09/06/18,2018,Thu,Hardcover
219499,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,1593081316,Robert Louis Stevenson,5,07/28/16,07/28/16,2016,Thu,Paperback
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",0439785960,J.K. Rowling,5,06/14/16,06/14/16,2016,Tue,Paperback
156152,Tales of Mystery and Imagination,0151002347,Edgar Allan Poe,5,07/28/16,07/28/16,2016,Thu,Hardcover
25489025,The Vegetarian,,Han Kang,5,06/23/16,06/27/16,2016,Mon,Hardcover
11804125,The Snow Child,,Eowyn Ivey,5,11/24/17,11/01/17,2017,Wed,Kindle Edition
10402992,"New York to Dallas (In Death, #33)",1441836314,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Audio CD
5907,"The Hobbit, or There and Back Again",0618260307,J.R.R. Tolkien,5,06/23/16,06/27/16,2016,Mon,Paperback
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",,Ransom Riggs,5,01/05/17,01/01/17,2017,Sun,Paperback
6186357,"The Maze Runner (The Maze Runner, #1)",0385737947,James Dashner,5,06/14/16,06/14/16,2016,Tue,Hardcover
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",0439064864,J.K. Rowling,5,06/14/16,06/14/16,2016,Tue,Hardcover
114145,"Born in Fire (Born In Trilogy, #1)",,Nora Roberts,5,12/16/16,12/16/16,2016,Fri,Paperback
3685,Black Beauty,0439228905,Anna Sewell,5,04/04/17,04/04/17,2017,Tue,Paperback
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",,J.R.R. Tolkien,5,11/07/16,11/07/16,2016,Mon,Paperback
1769362,The Arthashastra,0140446036,Chanakya,5,10/20/17,10/29/17,2017,Sun,Hardcover
6424171,"Jurassic Park (Jurassic Park, #1)",0345370775,Michael Crichton,5,12/07/16,12/07/18,2018,Fri,Mass Market Paperback
41804,"I, Robot (Robot, #0.1)",0553803700,Isaac Asimov,5,12/31/16,01/01/13,2013,Tue,Hardcover
18405,Gone with the Wind,0446675539,Margaret Mitchell,5,07/20/15,07/20/15,2015,Mon,Paperback
960,"Angels & Demons (Robert Langdon, #1)",1416524797,Dan Brown,5,07/20/15,07/20/15,2015,Mon,Mass Market Paperback
77203,The Kite Runner,,Khaled Hosseini,5,10/11/16,10/11/16,2016,Tue,Paperback
2657,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",,Harper Lee,5,07/20/15,07/20/15,2015,Mon,Paperback
128029,A Thousand Splendid Suns,1594489505,Khaled Hosseini,5,10/11/16,10/11/16,2016,Tue,Hardcover
3227063,"The Way of Shadows (Night Angel, #1)",0316033677,Brent Weeks,5,09/30/16,10/02/16,2016,Sun,Mass Market Paperback
268601,"Glory in Death (In Death, #2)",0425150984,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Mass Market Paperback
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",043965548X,J.K. Rowling,5,06/14/16,06/14/16,2016,Tue,Mass Market Paperback
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",0618346252,J.R.R. Tolkien,5,07/20/15,07/20/15,2015,Mon,Paperback
2998,The Secret Garden,0517189607,Frances Hodgson Burnett,5,04/04/17,04/01/17,2017,Sat,Hardcover
213975,"Witness in Death (In Death, #10)",0749934360,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Paperback
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",075640407X,Patrick Rothfuss,5,07/28/16,10/11/16,2016,Tue,Hardcover
17245,Dracula,0393970124,Bram Stoker,5,07/20/15,07/20/15,2015,Mon,Paperback
210243,"Origin in Death (In Death, #21)",042520426X,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Mass Market Paperback
238126,"Immortal in Death (In Death, #3)",0749934085,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Paperback
428263,"Eclipse (Twilight, #3)",0316160202,Stephenie Meyer,5,01/05/17,01/05/17,2017,Thu,Hardcover
102857,"Born in Death (In Death, #23)",0425215687,J.D. Robb,5,09/06/16,09/06/16,2016,Tue,Mass Market Paperback
2767052,"The Hunger Games (The Hunger Games, #1)",0439023483,Suzanne Collins,5,07/20/15,07/20/15,2015,Mon,Hardcover
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",0439358078,J.K. Rowling,5,06/14/16,06/14/16,2016,Tue,Paperback
153008,"Kushiel's Dart (Phèdre's Trilogy, #1)",0330493744,Jacqueline Carey,5,01/13/17,01/01/17,2017,Sun,Paperback
18512,"The Return of the King (The Lord of the Rings, #3)",,J.R.R. Tolkien,5,07/28/16,07/28/16,2016,Thu,Mass Market Paperback
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",0545010225,J.K. Rowling,5,06/14/16,06/14/16,2016,Tue,Hardcover
24154742,"Eleventh Grave in Moonlight (Charley Davidson, #11)",1250078210,Darynda Jones,4,11/23/17,11/23/17,2017,Thu,Hardcover
238137,"Purity in Death (In Death, #15)",0749934417,J.D. Robb,4,09/06/16,09/06/16,2016,Tue,Paperback
