,Id,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format,Unnamed: 0,Title,ISBN,Author,publication_year,publisher,language_code,description,reviews_count,ratings_count,original_publication_year,num_pages,series_work,similar_books,shelves,SmallImgURL,ImgURL
0,38819868,5,10/16/19,10/17/19,2019,Thu,Hardcover,0,"My Sister, the Serial Killer",0385544235,Oyinkan Braithwaite,2018.0,Doubleday Books,eng,"<b><i>My Sister, the Serial Killer </i>is a blackly comic novel about how blood is thicker - and more difficult to get out of the carpet - than water...</b><br /><br />When Korede's dinner is interrupted one night by a distress call from her sister, Ayoola, she knows what's expected of her: bleach, rubber gloves, nerves of steel and a strong stomach. This'll be the third boyfriend Ayoola's dispatched in, quote, self-defence and the third mess that her lethal little sibling has left Korede to clear away. She should probably go to the police for the good of the menfolk of Nigeria, but she loves her sister and, as they say, family always comes first. Until, that is, Ayoola starts dating the doctor where Korede works as a nurse. Korede's long been in love with him, and isn't prepared to see him wind up with a knife in his back: but to save one would mean sacrificing the other...",10514,81664,2017.0,226.0,False,"Queenie;Normal People;The Testaments (The Handmaid's Tale, #2);Girl, Woman, Other;Daisy Jones & The Six;Twas the Nightshift Before Christmas;Lanny;Three Women;The Nickel Boys;10 Minutes 38 Seconds in This Strange World;On Earth We're Briefly Gorgeous;Ordinary People;Red at the Bone;Lost Children Archive;The Hunting Party;コンビニ人間 [Konbini ningen];Fleishman Is in Trouble;Miracle Creek",fiction mystery thriller read-in-2019 audiobook contemporary crime audiobooks africa read-2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523366732l/38819868._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523366732l/38819868._SX98_.jpg
1,230066,5,01/14/17,03/03/17,2017,Fri,Paperback,0,The Wasp Factory,0708825362,Iain Banks,1990.0,Abacus,eng,"Frank - no ordinary sixteen-year-old - lives with his father outside a remote Scottish village. Their life is, to say the least, unconventional. Frank's mother abandoned them years ago: his elder brother Eric is confined to a psychiatric hospital; and his father measures out his eccentricities on an imperial scale. Frank has turned to strange acts of violence to vent his frustrations. In the bizarre daily rituals there is some solace. But when news comes of Eric's escape from the hospital Frank has to prepare the ground for his brother's inevitable return - an event that explodes the mysteries of the past and changes Frank utterly.<br /><br />",4047,70617,1984.0,184.0,False,Lunar Park;Skagboys;The Informers;The Blade Artist;Requiem for a Dream;The Zombie Room;Porno;Filth;The Elephant Tree;The Rules of Attraction;Factotum;Invisible Monsters;Trainspotting;American Psycho;Less Than Zero;Survivor;Post Office;A Scanner Darkly,fiction horror favorites thriller owned mystery contemporary 1001-books dark books-i-own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1271620222l/230066._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1271620222l/230066._SX98_.jpg
2,5043,5,10/12/12,11/24/12,2012,Sat,Paperback,0,"The Pillars of the Earth (Kingsbridge, #1)",MissingISBN,Ken Follett,2002.0,NAL Trade,eng,"<b>Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.</b><br /><br />Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes <i>The Pillars of the Earth</i> extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. <br /><br />Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.<br /><br />The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.<br /><br /><i>For the Movie tie-in edition with the same ISBN go to this <a href=""https://www.goodreads.com/book/show/17229203-the-pillars-of-the-earth"" rel=""nofollow"">Alternate Cover Edition</a></i><br />",29941,608630,1989.0,976.0,True,"Memoirs of a Geisha;The Help;Outlander (Outlander, #1);La catedral del mar (La catedral del mar, #1);All the Light We Cannot See;Gone with the Wind;The Kite Runner;The Name of the Rose;Girl with a Pearl Earring;Water for Elephants;The Book Thief;The Boy in the Striped Pajamas;The Clan of the Cave Bear (Earth's Children, #1);The Red Tent;The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9);Angels & Demons (Robert Langdon, #1);The Constant Princess (The Plantagenet and Tudor Novels, #6);The Nightingale",historical-fiction favorites fiction historical owned books-i-own history series book-club medieval,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043._SX98_.jpg
3,3228917,5,10/11/16,09/03/17,2017,Sun,Hardcover,0,Outliers: The Story of Success,0316017922,Malcolm Gladwell,2008.0,"Little, Brown and Company",eng,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different?<br /><br />His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.",23626,486801,2008.0,309.0,False,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;How to Win Friends and Influence People;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Thinking, Fast and Slow;The Power of Habit: Why We Do What We Do in Life and Business;The 4-Hour Workweek;Rich Dad, Poor Dad;Zero to One: Notes on Startups, or How to Build the Future;Sapiens: A Brief History of Humankind;Start with Why: How Great Leaders Inspire Everyone to Take Action;Good to Great: Why Some Companies Make the Leap... and Others Don't;The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance;Think and Grow Rich;Who Moved My Cheese?;Man's Search for Meaning;Shoe Dog: A Memoir by the Creator of NIKE;Steve Jobs",non-fiction nonfiction psychology favorites business self-help sociology owned science audiobook,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266315l/3228917._SX50_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344266315l/3228917._SX98_.jpg
4,9298054,5,06/18/17,05/13/18,2018,Sun,Paperback,0,"Descent Into Chaos: How The War Against Islamic Extremism Is Being Lost In Pakistan, Afghanistan And Central Asia",1846141753,Ahmed Rashid,2007.0,MissingPublisher,eng,"Ahmed Rashid, ""Pakistan's best and bravest reporter"" is a voice of reason amid the chaos of Central Asia today. His unique knowledge of this complex, war-torn region gives him a panoramic vision and grasp of nuance that no Western writer can emulate.",198,2368,2007.0,240.0,False,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden from the Soviet Invasion to September 10, 2001;In the Graveyard of Empires: America's War in Afghanistan;Pakistan: A Hard Country;Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan;The Gamble: General David Petraeus and the American Military Adventure in Iraq, 2006-2008;Learning to Eat Soup with a Knife: Counterinsurgency Lessons from Malaya and Vietnam;The Clash of Civilizations and the Remaking of World Order;The Accidental Guerrilla: Fighting Small Wars in the Midst of a Big One;The Post-American World;Cobra II: The Inside Story of the Invasion and Occupation of Iraq;The Way of the Knife: The CIA, a Secret Army, and a War at the Ends of the Earth;On War;Killing Pablo: The Hunt for the World's Greatest Outlaw;The Assassins' Gate: America in Iraq;The Great Partition: The Making of India and Pakistan;Man of War (Eric Steele #1);The Taliban Shuffle: Strange Days in Afghanistan and Pakistan;Afghanistan",non-fiction history afghanistan pakistan politics middle-east nonfiction war central-asia islam,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5,4667024,5,04/06/13,11/06/13,2013,Wed,Hardcover,0,The Help,MissingISBN,Kathryn Stockett,2009.0,Amy Einhorn Books,eng,"Three ordinary women are about to take one extraordinary step.<br /><br />Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.<br /><br />Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.<br /><br />Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.<br /><br />Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.<br /><br />In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't. <br />(jacket flap)",82895,1998700,2009.0,451.0,False,"Water for Elephants;The Lovely Bones;The Kite Runner;Memoirs of a Geisha;Gone Girl;The Time Traveler's Wife;To Kill a Mockingbird (To Kill a Mockingbird, #1);The Secret Life of Bees;The Book Thief;The Girl with the Dragon Tattoo (Millennium, #1);The Girl on the Train;All the Light We Cannot See;My Sister's Keeper;The Hunger Games (The Hunger Games, #1);The Notebook (The Notebook, #1);Life of Pi;The Great Gatsby;The Fault in Our Stars",favorites fiction historical-fiction book-club books-i-own historical owned adult adult-fiction favourites,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430l/4667024._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430l/4667024._SX98_.jpg
6,23722,5,10/10/18,10/25/18,2018,Thu,Paperback,0,"Nausicaä of the Valley of the Wind, Vol. 5 (Nausicaä of the Valley of the Wind, #5)",1591164125,Hayao Miyazaki,2004.0,VIZ Media,eng,"The Torumekian army is moving house, destroy all in its path, the remaining Doroks have set their sights on Torumekia and Emperor Namulith is plotting to form a joint Dorok-Torumekian kingdom. Meanwhile, four bodies of mold have spawned, expelling heavy miasma and eating everything in their path as they try and merge. Has the long period of purification begun?",35,2069,1991.0,151.0,True,"Akira, Vol. 4;Akira, Vol. 3;Akira, Vol. 5;Akira, Vol. 6;Akira, Vol. 2;Akira, Vol. 1;Berserk, Vol. 2;Berserk, Vol. 6;Berserk, Vol. 5;Lone Wolf and Cub, Vol. 2: The Gateless Barrier (Lone Wolf and Cub, #2);Berserk, Vol. 4;Black Cat, Volume 01;Space Boy Volume 3 (Space Boy, #3);Lone Wolf and Cub, Vol. 1: The Assassin's Road (Lone Wolf and Cub, #1);Kill 6 Billion Demons, Vol. 1;Berserk, Vol. 3;Space Boy Volume 2 (Space Boy, #2);El fantasma de Gaudí",manga graphic-novels comics fantasy favorites science-fiction graphic-novel sci-fi fiction owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7,4406,5,10/12/12,10/12/12,2012,Fri,Paperback,0,East of Eden,0142000655,John Steinbeck,2002.0,Penguin Books,eng,"In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.<br /><br />Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness.<br /><br />First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.<br /><br />--jacket flap",17892,402826,1952.0,601.0,False,"The Catcher in the Rye;A Farewell to Arms;One Flew Over the Cuckoo's Nest;A Tale of Two Cities / Great Expectations;Slaughterhouse-Five;Lolita;For Whom the Bell Tolls;The Sun Also Rises;The Old Man and the Sea;A Tree Grows in Brooklyn;The Great Gatsby;Crime and Punishment;Catch-22 (Catch-22, #1);To Kill a Mockingbird (To Kill a Mockingbird, #1);One Hundred Years of Solitude;The Brothers Karamazov;Anna Karenina;Brave New World",classics favorites fiction classic historical-fiction owned literature books-i-own book-club favourites,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544744853l/4406._SY75_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544744853l/4406._SX98_.jpg
8,23724,5,10/10/18,10/30/18,2018,Tue,Paperback,0,"Nausicaä of the Valley of the Wind, Vol. 7 (Nausicaä of the Valley of the Wind, #7)",1591163552,Hayao Miyazaki,2004.0,VIZ Media,eng,"Hayao Miyazaki was a budding filmmaker in 1982 when he agreed to collaborate on a project with the popular Japanese anime magazine Animage. This was Nausicaa, which would make Miyazaki's reputation as much as his 11 films and TV shows. Set in the far future, Nausicaa visualizes an Earth radically changed by ecological disaster. Strange human kingdoms survive at the edge of the Sea of Corruption, a poisonous fungal forest. Nausicaa, a gentle young princess, has a telepathic bond with the giant mutated insects of this dystopia. Her task is to negotiate peace between kingdoms battling over the last of the world's precious natural resources. Nausicaa took Miyazaki 12 years to create, in part because he worked with few or no assistants, doing both the writing and drawing using a meticulously detailed style that critics have compared to the work of the French artist Moebius.<p></p>",88,1893,1995.0,223.0,True,"Akira, Vol. 4;Akira, Vol. 2;Akira, Vol. 5;Akira, Vol. 3;Akira, Vol. 6;Lone Wolf and Cub, Vol. 2: The Gateless Barrier (Lone Wolf and Cub, #2);Lone Wolf and Cub, Vol. 1: The Assassin's Road (Lone Wolf and Cub, #1);Akira, Vol. 1;Berserk, Vol. 2;Space Boy Volume 3 (Space Boy, #3);Black Cat, Volume 01;Kill 6 Billion Demons, Vol. 1;The Whisperer in Darkness;Space Boy Volume 2 (Space Boy, #2);Berserk, Vol. 10;Berserk, Vol. 6;Lone Wolf and Cub, Vol. 3: The Flute of the Fallen Tiger;Chasseur de noirs",manga graphic-novels comics fantasy favorites science-fiction sci-fi graphic-novel fiction owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9,23721,5,10/10/18,10/27/18,2018,Sat,Paperback,0,"Nausicaä of the Valley of the Wind, Vol. 6 (Nausicaä of the Valley of the Wind, #6)",1591163544,Hayao Miyazaki,2004.0,VIZ Media,eng,"In a long-ago war, humankind set off a devastating ecological disaster. Now the Earth is slowly submerging beneath the expanding Sea of Corruption, an enormous toxic forest filled with mutant fungi that release a miasma of poisonous spores into the air. Nausicaa, a compassionate young princess, and her allies fight to create peace between kingdoms fighting over the world's remaining precious natural resources. Nausicaa embarks on an inner, spiritual journey to the heart of the Sea of Corruption, where she discovers its surprising secret. She returns to the land of the living, compelled to share her discovery, but Nausicaa accidentally awakens a God Warrior - a biotechnological abomination of the war known as the Seven Days of Fire - from its stasis. And now the monstrous yet childlike God Warrior thinks Nausicaa is its mother!",42,2001,1993.0,159.0,True,"Akira, Vol. 4;Akira, Vol. 2;Akira, Vol. 5;Akira, Vol. 3;Akira, Vol. 6;Lone Wolf and Cub, Vol. 2: The Gateless Barrier (Lone Wolf and Cub, #2);Lone Wolf and Cub, Vol. 1: The Assassin's Road (Lone Wolf and Cub, #1);Akira, Vol. 1;Black Cat, Volume 01;Berserk, Vol. 2;Space Boy Volume 3 (Space Boy, #3);Space Boy Volume 2 (Space Boy, #2);El fantasma de Gaudí;Berserk, Vol. 6;El Guantelete del Infinito (Jim Starlin, #3);Daredevil, Vol. 2: Parts of a Hole;Daredevil: In den Armen des Teufels;El renacimiento de Thanos (Jim Starlin, #1)",manga graphic-novels comics fantasy favorites science-fiction graphic-novel sci-fi fiction owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
