Id,Title,ISBN,Author,Rating,AddDate,ReadDate,ReadYear,ReadWeekday,Format
38819868,"My Sister, the Serial Killer",0385544235,Oyinkan Braithwaite,5,10/16/19,10/17/19,2019,Thu,Hardcover
230066,The Wasp Factory,0708825362,Iain Banks,5,01/14/17,03/03/17,2017,Fri,Paperback
5043,"The Pillars of the Earth (Kingsbridge, #1)",,Ken Follett,5,10/12/12,11/24/12,2012,Sat,Paperback
3228917,Outliers: The Story of Success,0316017922,Malcolm Gladwell,5,10/11/16,09/03/17,2017,Sun,Hardcover
9298054,"Descent Into Chaos: How The War Against Islamic Extremism Is Being Lost In Pakistan, Afghanistan And Central Asia",1846141753,Ahmed Rashid,5,06/18/17,05/13/18,2018,Sun,Paperback
4667024,The Help,,Kathryn Stockett,5,04/06/13,11/06/13,2013,Wed,Hardcover
23722,"Nausicaä of the Valley of the Wind, Vol. 5 (Nausicaä of the Valley of the Wind, #5)",1591164125,Hayao Miyazaki,5,10/10/18,10/25/18,2018,Thu,Paperback
4406,East of Eden,0142000655,John Steinbeck,5,10/12/12,10/12/12,2012,Fri,Paperback
23724,"Nausicaä of the Valley of the Wind, Vol. 7 (Nausicaä of the Valley of the Wind, #7)",1591163552,Hayao Miyazaki,5,10/10/18,10/30/18,2018,Tue,Paperback
23721,"Nausicaä of the Valley of the Wind, Vol. 6 (Nausicaä of the Valley of the Wind, #6)",1591163544,Hayao Miyazaki,5,10/10/18,10/27/18,2018,Sat,Paperback
732140,"Nausicaä of the Valley of the Wind, Vol. 3 (Nausicaä of the Valley of the Wind, #3)",1591164109,Hayao Miyazaki,5,10/10/18,10/29/19,2019,Tue,Paperback
10374,Hard-Boiled Wonderland and the End of the World,,Haruki Murakami,5,12/20/14,07/14/15,2015,Tue,Paperback
23720,"Nausicaä of the Valley of the Wind, Vol. 4 (Nausicaä of the Valley of the Wind, #4)",1591163528,Hayao Miyazaki,5,10/10/18,10/23/18,2018,Tue,Paperback
16032127,Revenge,,Yōko Ogawa,5,11/20/16,01/04/17,2017,Wed,Paperback
6958181,"Spring Snow (The Sea of Fertility, Book 1)",,Yukio Mishima,5,05/29/16,11/11/16,2016,Fri,Paperback
12578730,"The Point Of Rescue (Spilling CID, #3)",140568707X,Sophie Hannah,5,12/09/11,04/21/12,2012,Sat,Paperback
48757,The Tao of Pooh,1405204265,Benjamin Hoff,5,12/12/17,12/15/17,2017,Fri,Paperback
22308668,Animal Farm,,George Orwell,5,10/18/15,10/19/15,2015,Mon,Paperback
157993,The Little Prince,,Antoine de Saint-Exupéry,5,12/09/16,12/10/16,2016,Sat,Paperback
5060378,"The Girl Who Played with Fire (Millennium, #2)",0307269981,Stieg Larsson,5,06/15/13,06/14/13,2013,Fri,Hardcover
5759,Fight Club,0393327345,Chuck Palahniuk,5,01/05/13,09/23/16,2016,Fri,Paperback
19256975,Journey Under the Midnight Sun,1408704110,Keigo Higashino,5,03/16/16,03/28/16,2016,Mon,Paperback
23377639,Malice,,Keigo Higashino,5,07/04/15,07/06/15,2015,Mon,Paperback
19049759,Villain,,Shūichi Yoshida,5,12/15/15,12/15/15,2015,Tue,Paperback
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",030726999X,Stieg Larsson,5,07/08/13,08/24/13,2013,Sat,Hardcover
25191,A Personal Matter,0802150616,Kenzaburō Ōe,5,06/25/15,10/18/15,2015,Sun,Paperback
9783627,River of Smoke,0719568986,Amitav Ghosh,5,05/16/14,07/08/14,2014,Tue,Hardcover
1330324,"Sea of Poppies (Ibis Trilogy, #1)",071956896X,Amitav Ghosh,5,11/13/13,12/01/13,2013,Sun,Paperback
14096,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",1401307787,Jon Kabat-Zinn,5,03/20/12,05/04/12,2012,Fri,Paperback
21671,Mystic River,0060584750,Dennis Lehane,5,07/27/13,10/06/13,2013,Sun,Paperback
17413343,Winnie-the-Pooh,,A.A. Milne,5,08/22/17,08/24/17,2017,Thu,Audible Audio
30186948,Think and Grow Rich,,Napoleon Hill,5,03/21/18,02/01/18,2018,Thu,Paperback
62801,Thirst for Love,0375705074,Yukio Mishima,5,09/13/16,09/18/16,2016,Sun,Paperback
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",055357342X,George R.R. Martin,5,01/03/15,01/17/15,2015,Sat,Mass Market Paperback
1042416,The Fall of Baghdad,0316729906,Jon Lee Anderson,5,01/06/18,01/25/18,2018,Thu,Hardcover
1008101,Made in Japan: Akio Morita and Sony,0525244654,Akio Morita,5,04/25/15,01/01/12,2012,Sun,Hardcover
102564,The Mysterious Stranger,1573920398,Mark Twain,5,10/11/14,10/12/14,2014,Sun,Paperback
2648893,The Beast: A Reckoning With Depression,0399140778,Tracy Thompson,5,01/14/17,03/11/17,2017,Sat,Hardcover
